"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid","mlbamid"
"Chin-hui Tsao","LAD","1","0.0%","0.0%","0.00","1.000","1.000","2.000","3.000","1.000","2.6","1.000","","","0.0","1","0.8","1.256","748","1776","425835"
"Branden Pinder","NYY","1","0.0%","0.0%","0.00","1.000","1.000","2.000","3.000","1.000","0.1","1.000","","","0.0","1","0.8","1.256","748","12093","572038"
"Matt Albers","- - -","1","0.0%","0.0%","0.00","1.000","1.000","2.000","3.000","1.000","2.6","1.000","","","0.0","1","0.8","1.242","735","4300","458006"
"Buddy Carlyle","NYM","1","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","1","0.4",".892","498","2010","234194"
"Brian Schlitter","CHC","1","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","1","0.4",".892","494","3599","489295"
"Gus Schlosser","ATL","1","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","1","0.4",".892","494","12321","534576"
"Mike Dunn","- - -","1","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","1","0.5",".881","489","9948","445197"
"Keith Hessler","- - -","1","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","1","0.5",".881","481","12220","594857"
"Chad Sobotka","ATL","1","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","1","0.5",".880","471","17470","656977"
"Kolby Allard","ATL","3","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","2.6","1.000","","","0.0","2","1.4",".880","471","18694","663465"
"Cody Ege","- - -","1","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","1","0.5",".878","476","15928","643297"
"Andrew Albers","- - -","3","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","2","1.4",".877","483","7853","452027"
"Jose Torres","SDP","1","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","2.6","1.000","","","0.0","1","0.5",".877","463","14957","600526"
"Carlos Rivero","BOS","8","12.5%","0.0%","1.00",".571",".625","1.286","1.911",".714","0.1",".500","0.0","0.0","0.0","4","2.9",".785","424","1136","491640"
"Randy Rosario","- - -","2","50.0%","0.0%","1.00","1.000","1.000","1.000","2.000",".000","2.6","1.000","","","0.0","1","0.8",".785","411","14508","600968"
"Dan Jennings","- - -","3","0.0%","33.3%","0.00",".667",".667","1.000","1.667",".333","2.6","1.000","","","0.0","1","1.0",".709","359","8073","543359"
"Oliver Perez","- - -","3","0.0%","0.0%","0.00",".667",".667","1.000","1.667",".333","2.6",".667","","","0.0","1","1.0",".707","354","1514","424144"
"Yefri Perez","MIA","3","0.0%","33.3%","0.00",".667",".667","1.000","1.667",".333","6.3","1.000","0.7","0.2","0.0","1","1.0",".707","361","12090","570639"
"Ryan Brett","TBR","4","25.0%","0.0%","1.00",".667",".750","1.000","1.750",".333","0.1",".667","0.0","0.0","0.0","2","1.3",".706","371","12138","592166"
"Jacob Barnes","MIL","1","100.0%","0.0%","1.00",".000","1.000",".000","1.000",".000","0.1",".000","","","0.0","0","0.3",".693","338","12323","606930"
"J.J. Hoover","- - -","1","100.0%","0.0%","1.00",".000","1.000",".000","1.000",".000","2.6",".000","","","0.0","0","0.3",".689","354","9037","543331"
"Audry Perez","STL","1","100.0%","0.0%","1.00",".000","1.000",".000","1.000",".000","0.1",".000","0.0","0.0","0.0","0","0.3",".689","357","9176","542233"
"Randy Choate","STL","1","100.0%","0.0%","1.00",".000","1.000",".000","1.000",".000","0.1",".000","","","0.0","0","0.3",".687","355","813","329092"
"Liam Hendriks","- - -","1","100.0%","0.0%","1.00",".000","1.000",".000","1.000",".000","0.1",".000","","","0.0","0","0.3",".687","354","3548","521230"
"Jason Garcia","BAL","1","100.0%","0.0%","1.00",".000","1.000",".000","1.000",".000","0.1",".000","","","0.0","0","0.3",".687","354","12143","592329"
"Enny Romero","- - -","2","0.0%","50.0%","0.00",".500",".500","1.000","1.500",".500","2.6","1.000","","","0.0","1","0.5",".624","310","4001","544836"
"Jesse Biddle","ATL","2","0.0%","0.0%","0.00",".500",".500","1.000","1.500",".500","0.1",".500","","","0.0","1","0.5",".624","300","11437","592145"
"Dennis Santana","LAD","2","0.0%","50.0%","0.00",".500",".500","1.000","1.500",".500","0.1","1.000","","","0.0","1","0.5",".624","306","17878","642701"
"Mike Pelfrey","- - -","3","0.0%","33.3%","0.00",".667",".667",".667","1.333",".000","0.1","1.000","","","0.0","1","0.7",".587","284","5203","460059"
"Slade Heathcott","NYY","30","6.7%","16.7%","0.40",".400",".429",".720","1.149",".320","3.1",".421","0.1","0.3","-0.4","7","3.9",".475","208","10336","571761"
"Myles Straw","HOU","10","10.0%","0.0%","1.00",".333",".400",".667","1.067",".333","7.5",".250","0.0","0.0","0.4","2","1.1",".448","193","17620","664702"
"Zach McAllister","- - -","2","0.0%","0.0%","0.00",".500",".500",".500","1.000",".000","0.1",".500","","","0.0","0","0.2",".446","191","2895","502083"
"Jeurys Familia","- - -","4","0.0%","25.0%","0.00",".500",".500",".500","1.000",".000","0.1",".667","","","0.0","1","0.4",".446","196","5114","544727"
"Jeanmar Gomez","- - -","3","0.0%","33.3%","0.00",".500",".500",".500","1.000",".000","0.1","1.000","","","0.0","1","0.6",".446","298","9033","491646"
"Kevin Kouzmanoff","TEX","51","3.9%","13.7%","0.29",".362",".412",".617","1.029",".255","1.7",".395","0.3","-0.3","0.0","11","5.2",".442","186","5995","450260"
"Aaron Laffey","COL","2","0.0%","50.0%","0.00",".500",".500",".500","1.000",".000","0.1","1.000","","","0.0","0","0.2",".440","169","6248","444836"
"Travis Tartamella","STL","2","0.0%","0.0%","0.00",".500",".500",".500","1.000",".000","0.1",".500","0.0","0.0","0.0","0","0.2",".440","186","6748","502023"
"Rico Noel","NYY","2","0.0%","0.0%","0.00",".500",".500",".500","1.000",".000","6.6",".500","0.8","0.3","0.2","0","0.2",".440","184","10585","592596"
"Carter Capps","- - -","2","0.0%","50.0%","0.00",".500",".500",".500","1.000",".000","0.1","1.000","","","0.0","0","0.2",".440","187","12803","605169"
"Derek Law","SFG","2","0.0%","0.0%","0.00",".500",".500",".500","1.000",".000","2.6",".500","","","0.0","0","0.2",".440","188","13133","571882"
"Alex Meyer","- - -","2","0.0%","50.0%","0.00",".500",".500",".500","1.000",".000","0.1","1.000","","","0.0","0","0.2",".438","181","12833","543542"
"Dietrich Enns","MIN","2","0.0%","50.0%","0.00",".500",".500",".500","1.000",".000","0.1","1.000","","","0.0","0","0.2",".438","178","13932","608650"
"Craig Stammen","- - -","16","12.5%","37.5%","0.33",".385",".467",".538","1.005",".154","1.3",".714","","","0.0","3","1.5",".436","171","7274","489334"
"Donn Roach","- - -","5","0.0%","20.0%","0.00",".400",".400",".600","1.000",".200","0.1",".500","","","0.0","1","0.5",".433","183","10620","543698"
"Daniel Norris","- - -","8","25.0%","25.0%","1.00",".167",".375",".667","1.042",".500","0.1",".000","","","0.0","2","0.7",".430","181","13475","596057"
"Sean Gilmartin","- - -","7","0.0%","42.9%","0.00",".429",".429",".571","1.000",".143","2.6",".750","","","0.0","1","0.7",".428","175","12781","543219"
"Jordan Patterson","COL","19","5.3%","5.3%","1.00",".444",".474",".500",".974",".056","1.3",".471","0.3","0.1","-0.4","4","1.7",".425","153","15119","641958"
"Mike Trout","LAA","3183","15.9%","21.8%","0.73",".303",".422",".588","1.010",".285","6.1",".347","8.4","10.1","9.4","642","276.6",".422","175","10155","545361"
"Kenley Jansen","LAD","5","0.0%","20.0%","0.00",".400",".400",".600","1.000",".200","0.1",".500","","","0.0","1","0.5",".422","168","3096","445276"
"Daniel Fields","DET","3","0.0%","66.7%","0.00",".333",".333",".667","1.000",".333","2.6","1.000","0.2","0.0","0.0","1","0.3",".419","168","10390","571665"
