"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid","mlbamid"
"Josh James","HOU","13.77","4.48","3.07","1.39","36.1%","11.8%","24.4%",".197","1.22",".287","76.0%","91","87","82","4.06","3.85","0.20","3.69","3.23","16794","657624"
"Taylor Williams","MIL","9.46","4.23","2.24","0.87","23.1%","10.3%","12.8%",".271","1.56",".344","65.9%","125","93","96","5.23","3.86","1.36","3.98","4.04","14899","592865"
"Jason Gurka","- - -","7.00","2.50","2.80","1.00","15.7%","5.6%","10.1%",".405","2.17",".471","58.0%","192","90","103","9.00","3.86","5.14","4.18","4.02","8007","543261"
"Tony Gonsolin","LAD","8.33","3.38","2.47","0.90","22.7%","9.2%","13.5%",".177","1.03",".208","74.2%","69","87","111","2.93","3.86","-0.94","4.90","4.63","19388","664062"
"Tanner Scott","BAL","12.73","5.42","2.35","1.11","31.0%","13.2%","17.8%",".266","1.65",".387","69.1%","121","84","76","5.31","3.87","1.45","3.33","3.60","17586","656945"
"Michael Pineda","- - -","9.25","1.91","4.84","1.42","24.4%","5.1%","19.4%",".263","1.26",".319","71.3%","103","88","81","4.42","3.87","0.55","3.51","3.58","5372","501381"
"Spencer Turnbull","DET","8.80","3.44","2.56","0.82","22.2%","8.7%","13.5%",".265","1.42",".332","66.8%","103","85","99","4.76","3.88","0.88","4.50","4.54","16207","605513"
"Ryan Yarbrough","TBR","7.63","2.18","3.50","1.03","20.6%","5.9%","14.7%",".236","1.15",".276","69.3%","95","92","99","4.02","3.88","0.14","4.33","4.11","16502","642232"
"Luke Weaver","- - -","9.29","2.94","3.16","1.18","23.8%","7.5%","16.3%",".262","1.37",".324","70.6%","109","95","93","4.39","3.88","0.51","3.88","4.01","16918","596133"
"Edgar Ibarra","LAA","6.75","6.75","1.00","0.00","15.8%","15.8%","0.0%",".250","1.75",".308","85.7%","58","98","124","2.25","3.88","-1.63","4.99","5.33","5195","500891"
"Matt Belisle","- - -","7.02","2.84","2.47","0.83","18.3%","7.4%","10.9%",".256","1.31",".299","70.5%","92","93","104","3.92","3.88","0.04","4.37","4.09","1837","279571"
"Yu Darvish","- - -","11.02","2.95","3.73","1.41","29.6%","7.9%","21.6%",".219","1.15",".280","75.5%","87","88","81","3.90","3.89","0.01","3.51","3.56","13074","506433"
"Severino Gonzalez","PHI","8.45","1.91","4.43","1.23","21.1%","4.8%","16.3%",".305","1.48",".368","59.7%","167","95","110","6.68","3.90","2.78","4.41","3.80","14697","605894"
"Adrian Houser","MIL","8.86","3.26","2.72","0.99","23.6%","8.7%","14.9%",".241","1.27",".299","76.7%","82","89","89","3.61","3.90","-0.29","3.88","4.11","12718","605288"
"Sammy Solis","WSN","9.59","3.95","2.43","0.99","24.5%","10.1%","14.4%",".245","1.39",".312","70.4%","108","94","98","4.51","3.90","0.61","4.01","3.75","11457","519301"
"Joe Kelly","- - -","8.76","3.97","2.21","0.85","22.3%","10.1%","12.2%",".249","1.41",".311","70.4%","102","94","93","4.41","3.91","0.50","3.91","4.02","9761","523260"
"Aaron Thompson","MIN","4.73","3.06","1.55","0.56","12.4%","8.0%","4.4%",".254","1.33",".280","59.7%","122","96","122","5.01","3.91","1.10","4.93","4.85","999","457744"
"Matt Thornton","- - -","4.94","2.62","1.88","0.62","12.9%","6.9%","6.0%",".240","1.23",".264","73.1%","81","100","116","3.24","3.91","-0.67","4.61","4.46","1918","407819"
"Paul Sewald","NYM","9.49","2.99","3.17","1.21","24.5%","7.7%","16.8%",".248","1.31",".307","64.3%","130","94","108","5.16","3.91","1.25","4.56","3.83","13892","623149"
"Chase Whitley","- - -","7.34","2.45","3.00","0.98","19.3%","6.4%","12.9%",".231","1.17",".266","66.7%","96","93","109","4.01","3.91","0.10","4.68","4.17","10982","595032"
"Cory Gearrin","- - -","8.28","3.71","2.23","0.77","21.7%","9.8%","12.0%",".234","1.29",".289","78.3%","82","95","101","3.44","3.92","-0.47","4.36","4.12","7947","518715"
"Robbie Ray","ARI","11.28","4.07","2.77","1.24","29.3%","10.6%","18.7%",".232","1.33",".309","75.8%","91","94","88","3.96","3.92","0.04","3.68","3.80","11486","592662"
"James Hoyt","- - -","11.70","2.93","4.00","1.58","30.9%","7.7%","23.1%",".240","1.25",".316","77.9%","99","91","72","4.16","3.92","0.24","3.16","2.93","14605","624586"
"Frankie Montas","- - -","8.74","3.16","2.77","1.04","22.6%","8.2%","14.4%",".260","1.37",".319","73.6%","91","92","94","3.85","3.92","-0.07","4.12","4.21","14309","593423"
"Fernando Salas","- - -","8.56","2.49","3.44","1.24","22.5%","6.5%","15.9%",".254","1.28",".303","69.3%","110","95","97","4.45","3.92","0.53","4.05","3.61","4971","477569"
"Jeff Manship","CLE","7.51","3.48","2.16","0.87","20.7%","9.6%","11.1%",".200","1.11",".233","84.4%","48","93","99","2.07","3.93","-1.86","4.12","3.91","6865","453249"
"Hansel Robles","- - -","9.65","3.52","2.74","1.14","25.8%","9.4%","16.4%",".223","1.22",".278","76.6%","89","94","100","3.58","3.93","-0.35","4.22","3.72","11801","570663"
"German Marquez","COL","9.23","2.39","3.86","1.30","24.3%","6.3%","18.0%",".256","1.27",".313","72.6%","89","87","84","4.32","3.93","0.38","3.58","3.79","15038","608566"
"Trevor Gott","- - -","7.57","3.44","2.20","0.77","19.6%","8.9%","10.7%",".243","1.32",".291","67.5%","110","96","106","4.56","3.94","0.62","4.46","4.15","15046","641627"
"Luis Castillo","CIN","9.79","3.20","3.06","1.22","26.5%","8.7%","17.8%",".216","1.16",".267","75.2%","85","90","83","3.68","3.94","-0.26","3.55","3.84","15689","622491"
"Eduardo Rodriguez","BOS","9.10","3.18","2.86","1.13","23.8%","8.3%","15.5%",".244","1.30",".299","75.2%","89","92","97","4.03","3.94","0.09","4.18","4.15","13164","593958"
"Randall Delgado","ARI","8.39","3.62","2.31","0.98","21.6%","9.3%","12.3%",".244","1.36",".295","73.9%","88","96","106","3.83","3.94","-0.11","4.33","4.04","5985","517414"
"Joe Musgrove","- - -","8.07","2.09","3.87","1.18","21.3%","5.5%","15.8%",".255","1.23",".300","68.8%","105","92","95","4.37","3.94","0.43","4.11","4.10","12970","605397"
"Michael Fulmer","DET","7.03","2.53","2.78","0.95","18.9%","6.8%","12.1%",".239","1.19",".276","70.9%","88","91","97","3.81","3.95","-0.14","4.15","4.32","13218","605242"
"Rafael Martin","WSN","16.88","3.38","5.00","2.25","44.1%","8.8%","35.3%",".197","1.13",".296","67.2%","113","102","49","4.50","3.95","0.55","1.93","1.57","10258","514669"
"Jon Duplantier","ARI","8.35","4.42","1.89","0.49","20.9%","11.0%","9.8%",".279","1.55",".356","74.3%","99","91","120","4.42","3.95","0.47","5.30","4.90","19546","641541"
"Drew Storen","- - -","9.09","2.90","3.13","1.00","23.2%","7.4%","15.8%",".252","1.30",".313","71.1%","104","94","98","4.35","3.95","0.40","4.08","3.52","6983","519322"
"Blake Wood","- - -","9.68","4.32","2.24","1.00","24.7%","11.0%","13.7%",".262","1.49",".336","70.7%","105","92","89","4.54","3.95","0.59","3.77","3.76","1345","502028"
"Chris Paddack","SDP","9.79","1.98","4.94","1.47","26.9%","5.5%","21.5%",".202","0.98",".237","76.9%","79","90","91","3.33","3.95","-0.63","4.05","3.83","20099","663978"
"Jason Frasor","- - -","7.07","5.79","1.22","0.32","17.7%","14.5%","3.2%",".255","1.61",".313","91.7%","32","101","121","1.29","3.96","-2.67","4.86","4.90","1906","430630"
"Marc Rzepczynski","- - -","8.90","5.28","1.68","0.58","21.7%","12.9%","8.8%",".270","1.64",".346","69.2%","104","95","92","4.20","3.96","0.24","3.89","3.80","6612","519240"
"Freddy Peralta","MIL","11.63","4.24","2.74","1.27","30.0%","11.0%","19.1%",".219","1.30",".293","66.4%","113","93","100","4.79","3.96","0.83","4.24","3.88","18679","642547"
"Tyler Skaggs","LAA","8.82","3.15","2.80","1.09","22.9%","8.2%","14.7%",".259","1.35",".318","73.0%","98","90","96","4.24","3.96","0.28","4.17","4.24","10190","572140"
"Joel Payamps","ARI","6.75","6.75","1.00","0.00","17.6%","17.6%","0.0%",".286","1.75",".364","71.4%","101","91","146","4.50","3.96","0.54","6.45","6.63","14332","606303"
"Trevor Oaks","KCR","6.59","3.95","1.67","0.66","15.4%","9.2%","6.2%",".356","1.98",".417","62.5%","166","95","117","7.24","3.97","3.28","4.95","5.00","16468","656805"
"Daniel Hudson","- - -","9.04","3.64","2.48","0.99","23.3%","9.4%","13.9%",".236","1.31",".291","70.5%","93","94","103","3.94","3.97","-0.03","4.35","3.94","7146","543339"
"Jandel Gustave","- - -","6.45","4.03","1.60","0.60","17.4%","10.9%","6.5%",".220","1.25",".256","67.6%","82","94","111","3.43","3.97","-0.54","4.87","4.95","14665","594311"
"Dallas Beeler","CHC","7.56","7.56","1.00","0.00","15.2%","15.2%","0.0%",".359","2.52",".438","47.6%","247","102","134","9.72","3.97","5.75","5.21","5.18","11471","542923"
"Tim Mayza","TOR","10.56","3.89","2.71","1.21","26.7%","9.8%","16.8%",".249","1.41",".322","71.3%","105","88","85","4.67","3.97","0.70","3.74","3.68","15042","641835"
"Daniel Ponce de Leon","STL","9.15","4.30","2.13","0.88","24.8%","11.6%","13.1%",".205","1.21",".257","78.2%","81","95","107","3.31","3.98","-0.67","4.58","4.50","16110","594965"
"Scott Oberg","COL","8.18","3.53","2.32","0.91","21.5%","9.3%","12.2%",".244","1.32",".297","73.4%","81","91","95","3.85","3.98","-0.13","3.93","3.82","13911","623184"
"Marco Gonzales","- - -","7.09","2.18","3.25","1.07","18.5%","5.7%","12.8%",".273","1.33",".315","70.7%","100","92","100","4.26","3.98","0.28","4.44","4.52","15467","594835"
"Jace Fry","CHW","11.23","5.42","2.07","0.96","28.1%","13.6%","14.6%",".217","1.42",".293","64.8%","112","88","87","4.94","3.98","0.96","3.86","4.02","16159","605240"
"Sam LeCure","CIN","6.75","3.15","2.14","0.90","18.1%","8.4%","9.6%",".211","1.15",".237","69.3%","80","101","100","3.15","3.98","-0.83","3.86","3.65","4664","459967"
"Brad Keller","KCR","6.42","3.53","1.82","0.65","16.9%","9.3%","7.6%",".247","1.33",".288","74.4%","80","92","105","3.68","3.98","-0.30","4.63","4.91","15734","641745"
"James Pazos","- - -","9.27","3.46","2.68","1.03","23.9%","8.9%","15.0%",".244","1.32",".305","76.1%","80","93","91","3.38","3.99","-0.60","3.92","3.69","13323","572021"
"Alex Wilson","- - -","6.03","2.32","2.61","0.91","16.3%","6.3%","10.1%",".248","1.20",".277","74.8%","80","93","105","3.46","3.99","-0.53","4.43","4.21","9239","543935"
"Lucas Luetge","SEA","7.71","7.71","1.00","0.00","25.0%","25.0%","0.0%",".000","0.86",".000","100.0%","0","100","114","0.00","3.99","-3.99","4.62","5.92","8337","476595"
"Jonathan Broxton","- - -","8.96","3.75","2.39","1.05","22.9%","9.6%","13.3%",".255","1.41",".314","69.1%","117","99","92","4.74","3.99","0.75","3.72","3.67","4759","455009"
"Elvis Araujo","PHI","9.15","5.23","1.75","0.73","22.1%","12.6%","9.5%",".259","1.61",".330","66.3%","108","97","114","4.35","3.99","0.36","4.55","4.26","12854","542587"
"Dan Jennings","- - -","7.13","4.09","1.74","0.69","18.4%","10.5%","7.8%",".251","1.42",".298","75.4%","82","95","96","3.37","4.00","-0.63","4.05","4.06","8073","543359"
"Erik Goeddel","- - -","9.82","3.61","2.72","1.20","26.0%","9.5%","16.4%",".219","1.23",".271","77.2%","95","98","99","3.74","4.00","-0.25","4.05","3.57","11712","592340"
"Derek Law","- - -","8.87","3.84","2.31","0.97","22.4%","9.7%","12.7%",".253","1.42",".312","73.5%","99","95","99","4.22","4.00","0.22","4.29","4.12","13133","571882"
"Glen Perkins","MIN","8.21","2.23","3.69","1.25","20.8%","5.6%","15.1%",".268","1.35",".315","78.8%","97","97","106","4.04","4.00","0.03","4.36","3.65","8041","450282"
"Luke Jackson","- - -","9.59","3.76","2.55","1.09","23.9%","9.4%","14.5%",".273","1.51",".346","73.0%","106","94","93","4.65","4.00","0.64","3.98","3.84","11752","592426"
"Brian Moran","MIA","14.21","2.84","5.00","1.42","34.5%","6.9%","27.6%",".240","1.26",".357","81.4%","102","93","79","4.26","4.00","0.26","3.52","2.84","9646","572383"
"Koda Glover","WSN","6.83","3.42","2.00","0.81","17.9%","9.0%","9.0%",".226","1.25",".261","65.1%","106","95","115","4.55","4.00","0.55","4.76","4.49","17695","606983"
"Jacob Barnes","- - -","9.25","4.20","2.20","1.00","23.5%","10.7%","12.8%",".240","1.40",".299","69.2%","98","93","93","4.25","4.01","0.24","3.98","3.98","12323","606930"
"Santiago Casilla","- - -","8.99","3.66","2.45","0.96","23.5%","9.6%","13.9%",".228","1.26",".283","79.3%","86","101","101","3.49","4.01","-0.52","4.22","3.79","2873","433586"
"Ryan Buchter","- - -","9.89","4.01","2.46","1.10","26.7%","10.8%","15.9%",".197","1.16",".246","81.0%","68","94","110","2.87","4.01","-1.13","4.74","4.01","9456","488748"
"Adam Kolarek","- - -","6.27","2.30","2.72","0.83","16.6%","6.1%","10.5%",".252","1.23",".287","73.7%","89","94","92","3.78","4.01","-0.23","4.06","3.77","10843","592473"
"Drew Steckenrider","MIA","11.24","3.96","2.84","1.35","29.5%","10.4%","19.1%",".220","1.27",".286","77.1%","94","98","96","3.72","4.01","-0.29","4.01","3.45","18806","608716"
"Tyler Olson","- - -","9.00","4.40","2.04","0.86","22.8%","11.1%","11.6%",".259","1.49",".327","78.4%","88","93","103","3.83","4.01","-0.18","4.46","4.24","14741","621397"
"Masahiro Tanaka","NYY","8.34","1.85","4.50","1.40","22.6%","5.0%","17.6%",".242","1.14",".280","73.8%","90","91","84","3.90","4.01","-0.11","3.63","3.74","15764","547888"
"Eric Hanhold","NYM","7.71","3.86","2.00","0.00","15.4%","7.7%","7.7%",".364","2.14",".444","66.7%","202","101","151","7.71","4.02","3.70","6.14","4.66","18332","621098"
"Zach Duke","- - -","8.99","4.43","2.03","0.79","23.0%","11.4%","11.7%",".230","1.36",".290","77.2%","84","95","93","3.51","4.02","-0.51","3.93","3.82","3840","435043"
"Brandon Maurer","- - -","8.56","3.49","2.45","1.06","21.5%","8.8%","12.8%",".259","1.42",".313","65.7%","125","98","104","5.20","4.02","1.18","4.32","3.96","4878","543506"
"C.J. Wilson","LAA","7.50","3.14","2.39","0.89","19.9%","8.3%","11.6%",".237","1.24",".281","73.8%","100","101","105","3.89","4.02","-0.13","4.24","4.20","3580","450351"
"Fernando Rodney","- - -","9.63","4.63","2.08","0.88","24.6%","11.8%","12.8%",".237","1.41",".305","72.2%","101","97","97","4.21","4.02","0.18","4.07","3.94","494","407845"
"Joaquin Benoit","- - -","8.85","3.79","2.33","1.04","24.0%","10.3%","13.7%",".194","1.13",".232","78.2%","79","98","104","3.19","4.02","-0.84","4.31","3.86","1437","276542"
"Mike Minor","- - -","8.53","2.60","3.28","1.22","23.2%","7.1%","16.1%",".231","1.16",".274","77.3%","75","88","99","3.62","4.02","-0.41","4.40","4.17","10021","501985"
"Tommy Layne","- - -","7.86","4.78","1.64","0.60","20.1%","12.3%","7.9%",".238","1.42",".294","71.1%","100","96","105","4.27","4.02","0.25","4.37","4.29","7501","518927"
"Luke Hochevar","KCR","9.10","2.56","3.56","1.33","24.4%","6.8%","17.5%",".238","1.19",".286","76.0%","91","99","100","3.78","4.03","-0.24","4.13","3.37","6943","460024"
"Michael Feliz","- - -","12.00","3.92","3.06","1.48","30.5%","10.0%","20.6%",".239","1.37",".320","69.8%","121","95","86","4.96","4.03","0.93","3.69","3.29","11903","593140"
"Austin Gomber","STL","8.04","3.84","2.09","0.84","20.1%","9.6%","10.5%",".272","1.51",".330","71.8%","114","101","111","4.44","4.03","0.41","4.51","4.55","16561","596295"
"Brendan McKay","TBR","10.29","2.94","3.50","1.47","25.9%","7.4%","18.5%",".265","1.41",".331","64.0%","117","92","96","5.14","4.03","1.11","4.38","4.17","20186","656713"
"Blake Parker","- - -","10.00","2.80","3.58","1.40","27.3%","7.6%","19.7%",".219","1.13",".269","80.8%","81","91","87","3.52","4.03","-0.51","3.79","3.39","5224","453284"
"Mark Lowe","- - -","9.49","2.85","3.33","1.38","25.1%","7.5%","17.5%",".255","1.30",".313","70.9%","106","96","90","4.40","4.03","0.37","3.74","3.32","7416","450275"
"Phillip Diehl","COL","9.82","2.45","4.00","1.23","22.9%","5.7%","17.1%",".313","1.64",".391","60.3%","148","87","112","7.36","4.03","3.33","4.97","4.16","20030","670426"
"Tyler Duffey","MIN","8.75","2.30","3.81","1.36","22.4%","5.9%","16.5%",".267","1.33",".318","65.8%","115","93","86","4.96","4.04","0.92","3.70","3.69","13758","608648"
"Joe Jimenez","DET","11.27","3.44","3.28","1.40","28.4%","8.7%","19.7%",".250","1.37",".327","62.7%","121","91","97","5.41","4.04","1.37","4.26","3.49","15761","641729"
"Shawn Tolleson","TEX","8.70","2.24","3.89","1.41","22.5%","5.8%","16.7%",".272","1.34",".324","73.3%","104","95","85","4.56","4.04","0.52","3.50","3.25","10481","474521"
"Brent Suter","MIL","7.18","1.90","3.79","1.21","19.3%","5.1%","14.2%",".254","1.20",".288","76.3%","87","96","98","3.63","4.04","-0.41","4.10","4.19","13942","608718"
"Hunter Wood","- - -","8.41","3.12","2.70","1.14","21.6%","8.0%","13.6%",".256","1.36",".306","79.2%","78","95","103","3.32","4.04","-0.72","4.56","4.22","15091","621056"
"Danny Coulombe","- - -","8.42","3.82","2.20","0.97","22.3%","10.1%","12.2%",".239","1.32",".291","71.1%","105","97","89","4.27","4.04","0.23","3.79","3.73","13293","543056"
"Kevin McCarthy","KCR","5.72","2.86","2.00","0.78","14.8%","7.4%","7.4%",".271","1.39",".304","71.8%","84","94","95","3.78","4.04","-0.26","4.17","4.11","15240","641838"
"Matt Grace","WSN","6.74","2.50","2.69","0.97","17.3%","6.4%","10.9%",".274","1.37",".314","70.7%","99","94","97","4.29","4.04","0.24","4.11","3.97","11449","594840"
"Buddy Boshers","- - -","9.00","2.67","3.37","1.29","23.0%","6.8%","16.2%",".252","1.31",".303","68.7%","101","91","91","4.45","4.04","0.41","3.99","3.67","8490","542953"
"T.J. Zeuch","TOR","7.94","4.37","1.82","0.79","20.2%","11.1%","9.1%",".250","1.46",".303","66.2%","104","88","100","4.76","4.05","0.71","4.57","4.93","19269","643615"
"Jeanmar Gomez","- - -","6.77","2.71","2.50","0.96","17.2%","6.9%","10.3%",".292","1.48",".337","70.2%","111","96","101","4.67","4.05","0.62","4.14","3.98","9033","491646"
"J.A. Happ","- - -","8.34","2.65","3.14","1.24","22.2%","7.1%","15.2%",".243","1.23",".286","76.6%","88","94","95","3.75","4.06","-0.30","4.09","4.11","7410","457918"
"Seth Maness","- - -","5.68","1.98","2.87","1.03","14.7%","5.1%","9.6%",".299","1.43",".331","72.3%","101","102","95","3.96","4.06","-0.10","3.82","3.67","12235","595307"
"Vin Mazzaro","- - -","4.15","4.85","0.86","0.00","8.8%","10.3%","-1.5%",".367","2.23",".407","50.0%","194","107","162","7.62","4.06","3.56","6.37","5.66","5231","476570"
"John Axford","- - -","9.00","4.61","1.95","0.87","22.4%","11.5%","10.9%",".259","1.53",".326","71.2%","110","97","98","4.66","4.06","0.60","4.08","3.94","9059","446099"
"Matt Strahm","- - -","9.83","2.94","3.34","1.32","26.1%","7.8%","18.3%",".230","1.20",".284","77.4%","90","95","97","3.79","4.06","-0.27","4.18","3.80","13799","621381"
"Tony Sipp","- - -","9.28","3.28","2.83","1.25","24.5%","8.7%","15.9%",".236","1.26",".287","78.3%","88","97","99","3.65","4.06","-0.42","4.19","3.66","8280","448609"
"Ryan Borucki","TOR","6.30","3.36","1.87","0.78","16.0%","8.6%","7.5%",".268","1.44",".307","67.4%","99","94","113","4.31","4.06","0.25","4.82","4.95","16350","621366"
"Lou Trivino","OAK","9.34","4.16","2.24","1.01","24.5%","10.9%","13.6%",".228","1.31",".285","73.1%","92","95","98","3.96","4.07","-0.10","4.31","4.09","15043","642152"
"Steven Okert","SFG","8.19","2.79","2.93","1.12","21.7%","7.4%","14.3%",".227","1.18",".267","69.8%","104","101","112","4.28","4.07","0.22","4.74","4.01","13580","595345"
"Jesse Hahn","- - -","6.17","3.19","1.94","0.75","15.7%","8.1%","7.6%",".266","1.41",".304","63.9%","115","98","104","4.76","4.07","0.70","4.40","4.61","13287","534910"
"Tyson Ross","- - -","8.27","4.18","1.98","0.83","21.2%","10.7%","10.5%",".245","1.40",".301","69.3%","108","100","99","4.40","4.07","0.34","4.05","4.29","7872","475115"
"George Kontos","- - -","6.72","2.42","2.78","1.07","18.3%","6.6%","11.7%",".225","1.12",".252","79.7%","74","104","101","2.95","4.07","-1.12","4.15","3.98","9486","502004"
"Yonny Chirinos","TBR","7.63","2.14","3.57","1.21","21.0%","5.9%","15.1%",".234","1.12",".268","72.6%","87","95","92","3.71","4.07","-0.35","4.07","4.13","16401","630023"
"Adam Wainwright","STL","7.53","3.04","2.47","1.01","19.3%","7.8%","11.5%",".273","1.42",".322","72.0%","108","98","99","4.44","4.08","0.36","4.21","4.48","2233","425794"
"Paul Fry","BAL","8.62","4.17","2.07","0.76","22.0%","10.6%","11.4%",".242","1.38",".303","63.2%","99","87","93","4.55","4.08","0.47","4.14","4.05","15832","643316"
"Trevor Hildenberger","MIN","8.84","2.67","3.31","1.23","22.4%","6.8%","15.6%",".270","1.39",".327","66.9%","121","94","85","5.35","4.08","1.27","3.70","3.56","17002","657610"
"Casey Janssen","WSN","6.08","1.80","3.38","1.13","16.3%","4.8%","11.4%",".242","1.15",".264","62.5%","126","106","118","4.95","4.08","0.87","4.60","4.19","7355","445163"
"Colin Poche","TBR","12.54","3.31","3.79","1.57","34.8%","9.2%","25.6%",".180","1.01",".235","67.6%","107","94","97","4.70","4.08","0.62","4.44","3.36","19403","621363"
"Jordan Montgomery","NYY","8.29","3.04","2.73","1.21","21.9%","8.0%","13.9%",".239","1.26",".281","74.6%","90","91","102","3.91","4.09","-0.18","4.45","4.37","16511","656756"
"Sam Freeman","- - -","9.38","5.40","1.74","0.74","23.7%","13.6%","10.1%",".229","1.46",".296","76.5%","89","98","101","3.75","4.09","-0.34","4.21","4.21","6832","518693"
"Cole Hamels","- - -","8.57","3.15","2.72","1.11","22.6%","8.3%","14.3%",".241","1.26",".290","75.9%","84","94","95","3.72","4.09","-0.37","4.01","4.10","4972","430935"
"Rex Brothers","- - -","10.06","5.82","1.73","0.79","24.8%","14.4%","10.5%",".246","1.59",".326","65.0%","128","96","104","5.82","4.09","1.73","4.35","4.34","9794","571521"
"Jacob Brigham","ATL","6.48","4.32","1.50","0.54","14.3%","9.5%","4.8%",".373","2.16",".435","59.0%","222","108","115","8.64","4.09","4.55","4.46","4.47","2851","502010"
"Francisco Rodriguez","- - -","8.77","2.75","3.19","1.34","24.1%","7.6%","16.5%",".218","1.12",".254","74.8%","86","96","88","3.65","4.10","-0.45","3.68","3.40","1642","408061"
"Jose Berrios","MIN","8.82","2.94","3.00","1.18","23.1%","7.7%","15.4%",".243","1.26",".293","71.5%","95","93","99","4.21","4.10","0.11","4.36","4.23","14168","621244"
"Evan Scribner","- - -","9.41","0.66","14.17","1.88","26.5%","1.9%","24.6%",".244","1.01",".281","73.5%","105","101","72","4.20","4.10","0.11","2.99","2.56","7525","519267"
"Luis Garcia","- - -","8.44","4.20","2.01","0.90","21.2%","10.5%","10.6%",".258","1.48",".316","74.8%","97","94","97","4.10","4.10","0.00","4.11","4.03","6984","472610"
"Carlos Estevez","COL","9.66","3.67","2.63","1.19","24.3%","9.2%","15.1%",".252","1.41",".314","71.4%","94","90","102","4.63","4.10","0.53","4.39","3.94","14542","608032"
"Justin Anderson","LAA","11.17","6.33","1.76","0.79","27.7%","15.7%","12.0%",".220","1.52",".306","70.1%","107","92","103","4.75","4.10","0.65","4.52","4.45","16201","605121"
"Sean Manaea","OAK","7.33","2.39","3.07","1.13","19.6%","6.4%","13.2%",".242","1.20",".278","74.0%","91","98","99","3.77","4.10","-0.33","4.26","4.31","15873","640455"
"Clay Buchholz","- - -","7.01","2.57","2.73","1.08","18.6%","6.8%","11.8%",".256","1.27",".293","71.2%","94","98","106","4.10","4.11","-0.01","4.46","4.42","3543","453329"
"Yordano Ventura","KCR","7.73","3.50","2.21","0.95","19.9%","9.0%","10.9%",".254","1.37",".301","73.2%","102","101","99","4.28","4.11","0.16","4.13","4.23","11855","570649"
"Andrew Triggs","OAK","8.17","2.76","2.96","1.16","21.1%","7.1%","13.9%",".250","1.29",".295","65.2%","109","98","94","4.53","4.12","0.41","4.05","4.03","13533","592811"
"Drew Pomeranz","- - -","9.54","3.74","2.55","1.21","24.8%","9.7%","15.1%",".243","1.35",".302","75.8%","92","98","96","3.96","4.12","-0.15","4.08","4.11","11426","519141"
"Jake Peavy","SFG","7.06","2.39","2.95","1.18","18.6%","6.3%","12.3%",".258","1.28",".293","69.1%","117","108","114","4.59","4.12","0.47","4.59","4.37","1051","408241"
"Logan Webb","SFG","8.39","3.18","2.64","1.13","21.3%","8.0%","13.2%",".277","1.46",".333","65.4%","123","98","88","5.22","4.12","1.10","3.89","4.45","17995","657277"
"Christian Friedrich","- - -","6.95","3.69","1.88","0.86","17.3%","9.2%","8.1%",".272","1.51",".316","67.1%","118","100","114","4.94","4.12","0.82","4.63","4.62","7942","543184"
"Joe Ross","WSN","7.89","2.87","2.75","1.13","20.3%","7.4%","12.9%",".265","1.37",".312","72.9%","101","98","101","4.29","4.13","0.17","4.21","4.31","12972","605452"
"Nathan Karns","- - -","9.31","3.61","2.58","1.20","24.1%","9.4%","14.8%",".245","1.34",".302","75.8%","103","101","96","4.16","4.13","0.04","3.98","3.98","12638","501992"
"Jeff Samardzija","- - -","7.46","2.22","3.36","1.24","20.0%","5.9%","14.0%",".249","1.21",".285","70.6%","106","102","102","4.31","4.13","0.19","4.30","4.28","3254","502188"
"Chris Rusin","COL","6.89","2.78","2.48","1.03","17.8%","7.2%","10.6%",".275","1.40",".316","68.2%","97","96","96","4.52","4.13","0.39","3.88","3.92","9895","543734"
"Adam Warren","- - -","7.73","3.10","2.50","1.08","20.8%","8.3%","12.5%",".226","1.19",".263","75.5%","85","97","102","3.55","4.13","-0.58","4.28","4.07","9029","476589"
"Zack Godley","- - -","8.62","3.66","2.36","1.04","22.3%","9.4%","12.8%",".248","1.36",".303","69.3%","109","99","97","4.68","4.13","0.55","4.07","4.23","14862","643327"
"Shane Robinson","MIN","9.00","9.00","1.00","0.00","25.0%","25.0%","0.0%",".000","1.00",".000","100.0%","0","101","139","0.00","4.13","-4.13","5.61","5.98","4249","453203"
"Leury Garcia","CHW","9.00","0.00","1.00","0.00","20.0%","0.0%","20.0%",".250","1.00",".333","100.0%","0","101","102","0.00","4.13","-4.13","4.13","1.76","5913","544725"
"Cesar Cabral","BAL","9.00","9.00","1.00","0.00","33.3%","33.3%","0.0%",".000","1.00",".000","100.0%","0","99","102","0.00","4.13","-4.13","4.13","6.65","6741","501627"
"Brandon McCarthy","- - -","8.07","3.00","2.69","1.19","21.3%","7.9%","13.4%",".261","1.34",".309","69.7%","114","102","96","4.65","4.14","0.50","4.02","4.24","4662","435221"
"Chad Qualls","- - -","7.21","2.10","3.43","1.28","18.5%","5.4%","13.1%",".264","1.31",".299","66.4%","111","97","88","4.83","4.15","0.69","3.64","3.35","2170","430589"
"Tyler Alexander","DET","7.88","1.17","6.71","1.51","20.0%","3.0%","17.0%",".301","1.40",".347","73.0%","105","91","98","4.86","4.15","0.72","4.49","4.31","17735","641302"
