"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid","mlbamid"
"Rogelio Armenteros","HOU","9.00","2.50","3.60","0.50","24.0%","6.7%","17.3%",".243","1.22",".314","63.1%","89","61","88","4.00","2.77","1.23","4.04","4.08","17679","660494"
"Jacob deGrom","NYM","10.40","2.09","4.98","0.82","29.1%","5.8%","23.2%",".217","1.04",".289","79.6%","66","68","73","2.61","2.80","-0.19","3.04","3.20","10954","594798"
"Matt West","LAD","6.00","3.00","2.00","0.00","18.2%","9.1%","9.1%",".200","1.00",".250","100.0%","0","74","123","0.00","2.80","-2.80","4.77","4.33","7980","519411"
"Jose Alvarado","TBR","10.77","4.73","2.28","0.29","27.8%","12.2%","15.6%",".204","1.29",".290","70.8%","77","67","84","3.27","2.80","0.47","3.67","3.76","17780","621237"
"Brandon Morrow","- - -","8.17","2.04","4.00","0.51","23.0%","5.8%","17.3%",".226","1.06",".285","84.4%","52","70","83","2.04","2.80","-0.76","3.40","3.39","9346","453344"
"Max Scherzer","WSN","11.74","1.96","5.99","1.04","33.1%","5.5%","27.6%",".197","0.94",".269","80.4%","65","68","75","2.74","2.82","-0.08","3.10","2.84","3137","453286"
"Chris Sale","- - -","11.97","1.89","6.32","1.03","33.1%","5.2%","27.8%",".214","1.01",".299","75.5%","74","66","66","3.21","2.82","0.40","2.85","2.77","10603","519242"
"Perci Garner","CLE","11.57","4.82","2.40","0.00","26.1%","10.9%","15.2%",".308","1.82",".444","68.4%","110","66","79","4.82","2.83","2.00","3.36","3.20","10887","592330"
"Matt Davidson","CHW","6.00","3.00","2.00","0.00","18.2%","9.1%","9.1%",".100","0.67",".125","100.0%","0","66","93","0.00","2.83","-2.83","3.93","4.34","7226","571602"
"Mark Melancon","- - -","8.07","2.03","3.98","0.51","22.2%","5.6%","16.6%",".245","1.16",".308","75.3%","68","71","77","2.79","2.85","-0.06","3.19","3.11","4264","453343"
"Tom Murphy","SEA","6.00","3.00","2.00","0.00","18.2%","9.1%","9.1%",".100","0.67",".125","0.0%","136","65","135","6.00","2.88","3.12","6.20","5.52","13499","608596"
"Randy Dobnak","MIN","7.31","1.59","4.60","0.32","19.5%","4.2%","15.3%",".245","1.13",".302","77.4%","34","64","83","1.59","2.90","-1.31","3.77","3.92","23798","677976"
"Dustin May","LAD","8.31","1.30","6.40","0.52","22.7%","3.5%","19.1%",".250","1.10",".316","63.8%","85","65","83","3.63","2.90","0.74","3.70","3.79","19716","669160"
"Taylor Jordan","WSN","5.82","3.18","1.83","0.00","14.3%","7.8%","6.5%",".282","1.53",".333","61.5%","134","76","110","5.29","2.90","2.40","4.29","4.44","10466","518863"
