"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid","mlbamid"
"Matt Albers","- - -","1","0.0%","0.0%","0.00","1.000","1.000","2.000","3.000","1.000","2.6","1.000","","","0.0","1","0.8","1.242","735","4300","458006"
"Sean Gilmartin","- - -","1","0.0%","0.0%","0.00","1.000","1.000","2.000","3.000","1.000","2.6","1.000","","","0.0","1","0.8","1.232","699","12781","543219"
"Cody Ege","- - -","1","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","1","0.5",".878","476","15928","643297"
"Andrew Albers","- - -","3","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","2","1.4",".877","483","7853","452027"
"Jose Torres","SDP","1","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","2.6","1.000","","","0.0","1","0.5",".877","463","14957","600526"
"Will Smith","- - -","2","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","1","1.0",".870","459","8048","519293"
"R.J. Alaniz","- - -","1","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","1","0.5",".870","451","10819","595798"
"Gregory Soto","DET","2","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","1","1.0",".870","470","19677","642397"
"John Means","BAL","3","33.3%","0.0%","1.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","2","1.2",".780","408","16269","607644"
"Chris Parmelee","NYY","8","0.0%","37.5%","0.00",".500",".500","1.375","1.875",".875","2.6",".667","0.1","0.0","0.0","4","3.0",".769","407","2554","476633"
"Dan Jennings","- - -","3","0.0%","33.3%","0.00",".667",".667","1.000","1.667",".333","2.6","1.000","","","0.0","1","1.0",".709","359","8073","543359"
"Oliver Perez","- - -","3","0.0%","0.0%","0.00",".667",".667","1.000","1.667",".333","2.6",".667","","","0.0","1","1.0",".707","354","1514","424144"
"Yefri Perez","MIA","3","0.0%","33.3%","0.00",".667",".667","1.000","1.667",".333","6.3","1.000","0.7","0.2","0.0","1","1.0",".707","361","12090","570639"
"Joe Blanton","- - -","1","100.0%","0.0%","1.00",".000","1.000",".000","1.000",".000","0.1",".000","","","0.0","0","0.3",".693","337","4849","430599"
"Antonio Bastardo","- - -","1","100.0%","0.0%","1.00",".000","1.000",".000","1.000",".000","0.1",".000","","","0.0","0","0.3",".693","341","8844","455374"
"Jacob Barnes","- - -","1","100.0%","0.0%","1.00",".000","1.000",".000","1.000",".000","0.1",".000","","","0.0","0","0.3",".693","338","12323","606930"
"Chris Capuano","MIL","1","100.0%","0.0%","1.00",".000","1.000",".000","1.000",".000","0.1",".000","","","0.0","0","0.3",".691","344","1701","425626"
"Tony Cingrani","- - -","1","100.0%","0.0%","1.00",".000","1.000",".000","1.000",".000","2.6",".000","","","0.0","0","0.3",".691","344","12555","571561"
"Luis Campusano","SDP","4","0.0%","50.0%","0.00",".333",".500","1.333","1.833","1.000","0.1",".000","-0.5","0.0","0.0","2","1.2",".677","338","22217","669134"
"Anthony Ranaudo","- - -","3","0.0%","33.3%","0.00",".333",".333","1.333","1.667","1.000","0.1",".000","","","0.0","1","0.9",".672","342","11424","519168"
"Enny Romero","- - -","2","0.0%","50.0%","0.00",".500",".500","1.000","1.500",".500","2.6","1.000","","","0.0","1","0.5",".624","310","4001","544836"
"Jesse Biddle","- - -","2","0.0%","0.0%","0.00",".500",".500","1.000","1.500",".500","0.1",".500","","","0.0","1","0.5",".624","300","11437","592145"
"Rafael Marchan","PHI","9","11.1%","22.2%","0.50",".500",".556",".875","1.431",".375","2.6",".600","-0.2","0.1","0.0","3","2.1",".592","277","21646","665561"
"Vidal Nuno","- - -","3","0.0%","0.0%","0.00",".667",".667",".667","1.333",".000","0.1",".667","","","0.0","1","0.7",".586","291","9674","573064"
"Trent Thornton","TOR","3","0.0%","0.0%","0.00",".667",".667",".667","1.333",".000","2.6",".667","","","0.0","1","0.7",".580","275","17948","663423"
"Dennis Santana","LAD","4","0.0%","25.0%","0.00",".500",".500",".750","1.250",".250","0.1",".667","","","0.0","1","0.7",".529","240","17878","642701"
"Randy Rosario","- - -","3","33.3%","0.0%","1.00",".500",".667",".500","1.167",".000","2.6",".500","","","0.0","1","0.5",".523","240","14508","600968"
"Tyler Cravy","MIL","5","0.0%","20.0%","0.00",".250",".250","1.000","1.250",".750","0.1",".000","","","0.0","1","0.8",".504","219","10770","572788"
