"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid","mlbamid"
"Travis Blankenhorn","MIN","4","0.0%","0.0%","0.00",".333",".500",".667","1.167",".333","0.1",".333","0.0","0.0","0.0","1","0.6",".492","221","18395","663905"
"Craig Stammen","SDP","9","22.2%","33.3%","0.67",".429",".556",".571","1.127",".143","2.0",".750","","","0.0","2","1.2",".486","207","7274","489334"
"Dariel Alvarez","BAL","4","25.0%","0.0%","1.00",".333",".500",".667","1.167",".333","0.1",".333","-0.2","0.0","0.0","1","0.5",".483","211","15580","645848"
"Sam Huff","TEX","33","6.1%","33.3%","0.18",".355",".394",".742","1.136",".387","0.8",".471","0.0","0.1","0.0","8","4.1",".469","204","22209","669087"
"Ke'Bryan Hayes","PIT","95","9.5%","21.1%","0.45",".376",".442",".682","1.124",".306","6.1",".450","0.2","0.0","0.1","24","11.6",".464","194","18577","663647"
"Derek Law","- - -","2","0.0%","0.0%","0.00",".500",".500",".500","1.000",".000","2.6",".500","","","0.0","0","0.2",".440","188","13133","571882"
"Alex Meyer","- - -","2","0.0%","50.0%","0.00",".500",".500",".500","1.000",".000","0.1","1.000","","","0.0","0","0.2",".438","181","12833","543542"
"Dietrich Enns","MIN","2","0.0%","50.0%","0.00",".500",".500",".500","1.000",".000","0.1","1.000","","","0.0","0","0.2",".438","178","13932","608650"
"Tyler Stephenson","CIN","20","10.0%","45.0%","0.22",".294",".400",".647","1.047",".353","2.0",".500","0.1","0.2","0.0","4","2.0",".437","169","17988","663886"
"Oliver Drake","- - -","2","0.0%","50.0%","0.00",".500",".500",".500","1.000",".000","0.1","1.000","","","0.0","0","0.2",".435","188","8823","543118"
"Mike Trout","LAA","2637","18.1%","20.0%","0.91",".304",".440",".609","1.049",".305","5.9",".333","8.5","9.6","9.0","568","249.4",".431","177","10155","545361"
"Yordan Alvarez","HOU","378","13.8%","25.1%","0.55",".312",".410",".654","1.064",".343","1.1",".360","-1.7","-0.1","-0.2","84","36.4",".431","176","19556","670541"
"Jordan Patterson","COL","19","5.3%","5.3%","1.00",".444",".474",".500",".974",".056","1.3",".471","0.3","0.1","-0.4","4","1.7",".425","153","15119","641958"
"Kenley Jansen","LAD","5","0.0%","20.0%","0.00",".400",".400",".600","1.000",".200","0.1",".500","","","0.0","1","0.4",".422","168","3096","445276"
"David Ortiz","BOS","626","12.8%","13.7%","0.93",".315",".401",".620","1.021",".305","2.2",".312","-7.4","-2.5","0.1","126","52.2",".419","163","745","120074"
"Alejandro Kirk","TOR","25","4.0%","16.0%","0.25",".375",".400",".583",".983",".208","1.6",".421","-0.6","0.1","0.0","5","2.1",".418","165","22581","672386"
"Jorge Lopez","- - -","4","0.0%","25.0%","0.00",".333",".333",".667","1.000",".333","2.6",".500","","","0.0","0","0.0",".416","101","14527","605347"
"Yovani Gallardo","- - -","10","10.0%","10.0%","1.00",".429",".500",".429",".929",".000","1.1",".500","","","0.0","2","0.5",".416","146","8173","451596"
"Jorge Ona","SDP","15","13.3%","46.7%","0.29",".250",".400",".583",".983",".333","2.6",".500","-0.2","0.1","0.0","3","1.2",".415","166","20040","671250"
"Ramon Urias","BAL","27","7.4%","22.2%","0.33",".360",".407",".560",".967",".200","0.8",".444","-1.0","0.0","0.0","6","2.1",".413","164","18795","602104"
"Randy Arozarena","- - -","99","8.1%","26.3%","0.31",".286",".384",".607",".991",".321","6.3",".314","-0.1","0.1","0.7","20","7.8",".413","168","19290","668227"
"Brent Rooker","MIN","21","0.0%","23.8%","0.00",".316",".381",".579",".960",".263","2.6",".385","0.4","0.1","0.0","4","1.6",".408","163","19627","667670"
"Juan Soto","WSN","1349","16.9%","19.2%","0.88",".295",".415",".557",".972",".261","4.7",".329","-2.2","1.7","1.5","265","99.4",".405","152","20123","665742"
"Elliot Soto","LAA","7","14.3%","14.3%","1.00",".333",".429",".500",".929",".167","2.6",".400","0.0","0.1","0.0","1","0.5",".403","157","11155","519303"
"Ryan Lavarnway","- - -","49","4.1%","22.4%","0.18",".348",".388",".565",".953",".217","0.7",".424","-0.7","0.0","0.0","9","3.4",".402","151","8879","543432"
"Bobby Dalbec","BOS","92","10.9%","42.4%","0.26",".263",".359",".600",".959",".338","0.9",".394","-0.3","0.6","-0.1","18","6.2",".400","151","19966","666915"
"Munenori Kawasaki","CHC","26","15.4%","19.2%","0.80",".333",".462",".429",".890",".095","5.3",".438","0.4","-0.1","0.4","5","1.7",".398","150","13047","493128"
"Freddie Freeman","ATL","2868","12.6%","19.6%","0.64",".306",".400",".557",".958",".251","4.4",".348","0.3","2.7","-0.5","539","191.7",".398","147","5361","518692"
"Edwin Rios","LAD","139","9.4%","28.1%","0.33",".260",".338",".634",".972",".374","3.4",".274","-0.8","-0.2","-0.1","27","9.1",".396","150","18316","621458"
"Fernando Tatis Jr.","SDP","629","9.1%","27.2%","0.33",".301",".374",".582",".956",".281","7.5",".366","2.8","0.5","1.1","120","41.0",".396","151","19709","665487"
"Aaron Judge","NYY","1832","15.6%","31.4%","0.50",".272",".390",".558",".948",".286","3.8",".352","4.0","-0.2","-2.3","341","118.9",".396","151","15640","592450"
"J.D. Martinez","- - -","2549","10.4%","23.5%","0.44",".303",".376",".580",".956",".278","3.7",".347","-11.4","-7.7","0.1","473","164.4",".396","147","6184","502110"
"Jake Buchanan","- - -","4","25.0%","50.0%","0.50",".333",".500",".333",".833",".000","2.6","1.000","","","0.0","1","0.2",".392","144","10962","594772"
"William Contreras","ATL","10","0.0%","40.0%","0.00",".400",".400",".500",".900",".100","0.1",".667","-0.1","0.0","0.0","2","0.6",".389","142","20503","661388"
"Christian Yelich","- - -","2832","12.2%","21.3%","0.57",".299",".390",".532",".922",".233","5.6",".348","12.7","1.0","8.4","508","165.4",".388","144","11477","592885"
"Nelson Cruz","- - -","2638","10.2%","23.1%","0.44",".286",".369",".563",".932",".277","1.9",".314","-12.7","-2.7","-1.7","472","153.3",".388","149","2434","443558"
"Charlie Blackmon","COL","2943","7.7%","17.6%","0.44",".314",".374",".549",".923",".235","5.9",".346","4.8","1.4","-4.6","524","168.4",".387","127","7859","453568"
"Will Smith","LAD","333","11.4%","22.2%","0.51",".268",".363",".574",".937",".306","3.1",".277","-2.5","0.2","0.2","61","18.8",".386","143","19197","669257"
"Josh Donaldson","- - -","2176","15.3%","21.3%","0.72",".266",".385",".529",".914",".263","3.5",".293","-2.2","1.2","-0.5","386","122.2",".386","142","5038","518626"
"Nolan Arenado","COL","2912","9.6%","15.2%","0.63",".300",".367",".565",".932",".265","3.5",".304","6.8","-1.9","-3.4","514","162.4",".385","126","9777","571448"
"Mookie Betts","- - -","3008","10.9%","12.9%","0.84",".303",".381",".537",".918",".234","6.4",".312","19.8","3.7","12.2","530","166.3",".385","139","13611","605141"
"Joey Votto","CIN","2838","16.3%","16.6%","0.99",".293",".413",".489",".902",".196","3.2",".326","-20.6","-2.4","1.0","500","156.4",".384","137","4314","458015"
"Anthony Rendon","- - -","2727","11.8%","14.6%","0.81",".298",".387",".526",".913",".228","3.9",".315","8.0","2.9","-0.7","480","150.1",".384","138","12861","543685"
"Johnny Davis","TBR","4","0.0%","50.0%","0.00",".250",".250",".750","1.000",".500","5.1",".500","0.0","0.0","0.0","1","0.2",".382","146","15830","643275"
"Ronald Acuna Jr.","ATL","1404","11.3%","26.4%","0.43",".281",".371",".538",".909",".258","6.2",".339","7.1","1.0","4.9","247","75.1",".382","136","18401","660670"
"Alex Bregman","HOU","2418","12.8%","14.2%","0.90",".283",".381",".521",".902",".239","4.6",".293","-1.1","1.8","1.1","422","128.0",".381","144","17678","608324"
"Alec Bohm","PHI","180","8.9%","20.0%","0.44",".338",".400",".481",".881",".144","2.3",".410","0.2","0.1","-0.4","32","9.3",".381","138","21618","664761"
"Kris Bryant","CHC","2602","11.7%","22.1%","0.53",".282",".383",".513",".896",".232","4.1",".330","11.9","8.2","-3.3","449","133.8",".380","136","15429","592178"
"Paul Goldschmidt","- - -","2973","13.8%","22.8%","0.60",".287",".390",".511",".900",".224","4.8",".343","6.2","5.1","4.0","512","152.4",".380","135","9218","502671"
"Jahmai Jones","LAA","7","0.0%","28.6%","0.00",".429",".429",".429",".857",".000","2.6",".600","-0.1","0.0","0.0","1","0.3",".378","140","18872","663330"
"Justin Turner","LAD","2315","9.6%","14.3%","0.67",".298",".382",".507",".889",".209","3.4",".315","-1.6","1.8","0.4","394","114.1",".377","138","5235","457759"
"Ryan Mountcastle","BAL","140","7.9%","21.4%","0.37",".333",".386",".492",".878",".159","0.8",".398","-0.7","0.2","-0.6","24","6.7",".377","139","18373","663624"
"Jose Altuve","HOU","2736","8.4%","12.9%","0.65",".318",".380",".507",".887",".189","5.4",".338","5.0","-4.4","3.8","462","131.9",".376","141","5417","514888"
"Luke Voit","- - -","1029","10.9%","26.2%","0.41",".274",".363",".527",".891",".254","1.9",".323","-1.3","-0.7","-0.7","176","49.0",".376","138","14811","572228"
"Jeff McNeil","NYM","1024","6.7%","12.0%","0.56",".319",".383",".501",".884",".182","4.2",".342","-0.6","2.9","-2.2","176","49.4",".375","140","15362","643446"
"Jose Ramirez","CLE","2757","10.3%","11.9%","0.87",".290",".366",".529",".895",".239","6.0",".292","12.3","7.6","9.3","464","130.7",".375","135","13510","608070"
"Anthony Rizzo","CHC","2888","11.6%","13.9%","0.83",".280",".385",".502",".887",".222","3.5",".287","-16.9","1.6","-3.2","486","137.2",".375","133","3473","519203"
"Cody Bellinger","LAD","2083","12.4%","21.5%","0.58",".273",".364",".547",".911",".274","5.5",".297","-0.2","4.7","3.5","355","100.8",".375","137","15998","641355"
"Bryce Harper","- - -","2740","16.6%","22.1%","0.75",".265",".389",".510",".899",".244","4.5",".301","-6.6","5.2","2.1","462","130.3",".375","132","11579","547180"
"Giancarlo Stanton","- - -","2033","11.4%","27.8%","0.41",".265",".355",".545",".899",".280","2.7",".311","-4.2","1.0","-0.8","340","96.6",".375","137","4949","519317"
"Pete Alonso","NYM","932","10.3%","26.2%","0.39",".252",".350",".559",".909",".307","2.8",".270","-4.7","0.6","-0.1","160","42.9",".373","138","19251","624413"
"Bo Bichette","TOR","340","5.6%","22.6%","0.25",".307",".347",".549",".896",".241","4.6",".361","-0.8","0.2","-0.8","58","15.3",".372","134","19612","666182"
"Mike Yastrzemski","SFG","636","9.7%","25.5%","0.38",".281",".357",".535",".892",".254","5.1",".340","2.0","2.1","-1.8","108","28.1",".372","134","14854","573262"
"Jesse Winker","CIN","1038","12.5%","17.0%","0.74",".280",".380",".479",".859",".199","2.2",".308","-3.5","-1.5","-1.6","170","43.1",".368","125","13590","608385"
"Trevor Story","COL","2541","8.4%","28.6%","0.29",".277",".343",".535",".877",".258","6.3",".347","5.4","4.6","4.5","412","104.2",".368","114","12564","596115"
"George Springer","HOU","2771","11.1%","20.3%","0.55",".273",".363",".500",".862",".226","4.2",".302","8.1","-2.4","-6.8","448","113.0",".367","135","12856","543807"
"Rhys Hoskins","PHI","1762","15.3%","23.4%","0.65",".239",".366",".495",".861",".255","3.3",".267","-1.5","3.6","-1.2","284","69.6",".365","126","16472","656555"
"Brandon Nimmo","NYM","1309","15.1%","25.5%","0.59",".258",".390",".448",".838",".189","5.1",".339","4.3","2.2","-1.3","210","51.4",".365","133","12927","607043"
"Luis Gonzalez","CHW","2","0.0%","50.0%","0.00",".000",".500",".000",".500",".000","0.1",".000","-0.1","0.0","0.0","0","0.1",".364","132","20332","670768"
"Max Muncy","- - -","1451","15.7%","25.1%","0.63",".239",".366",".492",".858",".253","3.7",".266","2.1","4.7","0.2","233","56.1",".364","130","13301","571970"
"DJ LeMahieu","- - -","2769","8.2%","13.1%","0.62",".320",".376",".473",".849",".153","4.7",".349","5.0","-7.4","-3.6","440","105.0",".364","117","9874","518934"
"Tyrone Taylor","MIL","53","5.7%","17.0%","0.33",".271",".340",".521",".860",".250","1.8",".297","-0.2","0.1","0.0","9","2.0",".364","126","13675","621438"
"Daniel Murphy","- - -","2136","6.8%","12.6%","0.54",".310",".359",".509",".867",".199","3.4",".325","-2.1","1.0","-0.7","337","78.4",".363","120","4316","502517"
"Yoenis Cespedes","NYM","1055","8.7%","22.2%","0.39",".277",".345",".523",".868",".246","3.3",".307","0.5","0.1","-0.2","164","38.2",".362","130","13110","493316"
"Corey Seager","LAD","2188","8.8%","19.0%","0.46",".293",".359",".497",".856",".204","3.4",".333","8.5","0.2","-1.6","344","77.8",".362","127","13624","608369"
"Sean Murphy","OAK","200","15.0%","26.5%","0.57",".237",".355",".491",".846",".254","2.1",".276","2.0","-1.4","-0.1","32","7.0",".361","134","19352","669221"
"Adrian Beltre","TEX","1510","8.0%","14.2%","0.57",".294",".355",".496",".851",".202","2.3",".306","-5.7","-0.7","-0.7","233","53.7",".360","119","639","134181"
"Brandon Lowe","TBR","699","9.4%","29.9%","0.32",".262",".342",".513",".855",".251","5.7",".332","5.5","1.8","1.2","111","24.2",".360","132","18882","664040"
"Xander Bogaerts","BOS","2857","9.3%","17.6%","0.53",".293",".362",".483",".844",".190","4.8",".330","9.8","2.4","4.1","442","96.5",".359","121","12161","593428"
"Tommy Pham","- - -","2062","12.3%","23.2%","0.53",".274",".372",".462",".833",".188","5.8",".334","9.3","-4.1","4.8","320","69.4",".359","127","2967","502054"
"Edwin Encarnacion","- - -","2617","12.5%","21.4%","0.59",".247",".347",".500",".847",".253","2.5",".256","-12.7","-1.5","-0.6","402","86.7",".358","124","2151","429665"
"Jose Abreu","CHW","2878","6.0%","19.6%","0.31",".290",".344",".511",".855",".221","2.8",".322","-5.4","-8.0","-1.9","443","94.4",".358","126","15676","547989"
"Keibert Ruiz","LAD","8","0.0%","37.5%","0.00",".250",".250",".625",".875",".375","0.1",".250","0.0","0.0","0.0","1","0.3",".358","126","19610","660688"
"Michael Conforto","NYM","2307","12.4%","24.6%","0.50",".258",".360",".482",".843",".224","3.2",".306","4.8","2.7","-2.3","356","76.4",".358","127","16376","624424"
"Trea Turner","WSN","2339","7.6%","18.0%","0.42",".297",".354",".483",".837",".186","7.9",".340","9.8","2.0","18.9","358","74.8",".356","119","16252","607208"
"Mike Brosseau","TBR","240","6.3%","29.2%","0.21",".284",".343",".500",".843",".216","4.5",".370","-0.1","0.3","0.4","37","7.3",".356","130","19683","670712"
"Michael Brantley","- - -","1873","8.0%","11.2%","0.71",".305",".363",".472",".835",".167","4.2",".321","3.6","-1.5","2.1","287","59.0",".356","123","4106","488726"
"Marcell Ozuna","- - -","2731","9.0%","19.9%","0.45",".282",".348",".492",".840",".210","3.4",".314","1.9","-0.5","-1.9","416","85.7",".356","124","10324","542303"
"Jake Cronenworth","SDP","192","9.4%","15.6%","0.60",".285",".354",".477",".831",".192","6.0",".324","-0.4","-0.6","0.0","30","5.8",".356","126","18036","630105"
"Austin Meadows","- - -","934","8.7%","23.7%","0.37",".276",".345",".508",".853",".232","5.5",".326","-3.3","3.5","-0.6","145","29.6",".355","128","15672","640457"
"Eugenio Suarez","CIN","2758","10.8%","25.4%","0.43",".260",".349",".491",".839",".231","3.3",".304","-8.2","-1.2","-2.9","420","85.6",".355","117","12552","553993"
"Shohei Ohtani","LAA","967","9.5%","27.1%","0.35",".269",".340",".503",".843",".234","5.8",".331","-0.4","3.1","1.9","148","30.0",".355","124","19755","660271"
"Wyatt Mathisen","ARI","33","15.2%","36.4%","0.42",".222",".364",".444",".808",".222","1.6",".308","-0.1","0.1","0.0","5","1.0",".355","120","14555","621500"
"Manny Machado","- - -","3010","8.6%","16.7%","0.51",".279",".342",".508",".850",".229","3.5",".289","1.1","-6.9","-1.2","455","91.2",".355","123","11493","592518"
"Carlos Santana","- - -","2975","15.2%","14.7%","1.03",".252",".368",".461",".829",".209","3.3",".259","2.6","-2.1","-0.4","451","90.8",".355","121","2396","467793"
"Matt Carpenter","STL","2526","15.0%","22.5%","0.67",".245",".367",".462",".829",".216","3.6",".287","-6.4","7.9","-2.1","380","75.0",".354","123","8090","572761"
"Luis Arraez","MIN","487","9.0%","8.2%","1.10",".331",".390",".429",".819",".098","3.0",".354","0.9","1.1","-0.8","76","14.4",".354","123","18568","650333"
"Matt Chapman","OAK","1764","9.7%","24.9%","0.39",".255",".336",".503",".839",".248","3.7",".300","7.8","0.8","-3.0","267","52.3",".354","127","16505","656305"
"Keston Hiura","MIL","594","6.9%","32.3%","0.21",".266",".338",".505",".843",".239","4.9",".352","-0.4","-0.1","-0.1","92","17.1",".353","118","20003","669374"
"Brian Navarreto","MIA","5","0.0%","20.0%","0.00",".400",".400",".400",".800",".000","0.1",".500","0.0","0.0","0.0","1","0.1",".353","123","16398","640459"
"Matt Olson","OAK","1696","10.8%","26.1%","0.42",".245",".338",".500",".838",".254","2.1",".277","-4.9","1.4","-0.8","256","50.2",".353","126","14344","621566"
"Alex Dickerson","- - -","645","8.5%","18.0%","0.47",".273",".343",".497",".839",".223","5.3",".300","-0.8","-0.9","0.0","97","18.3",".353","121","12649","543105"
"Eloy Jimenez","CHW","730","5.8%","26.0%","0.22",".276",".321",".527",".848",".251","2.0",".318","2.3","0.3","-0.4","112","20.3",".353","122","17484","650391"
"Ryan Kalish","CHC","10","10.0%","0.0%","1.00",".286",".444",".286",".730",".000","1.6",".286","0.3","0.1","0.0","1","0.3",".352","119","6962","501888"
"Brandon Snyder","- - -","53","1.9%","34.0%","0.06",".231",".245",".615",".861",".385","4.8",".267","-1.2","0.0","0.0","8","1.5",".352","120","9856","474319"
"Mitch Haniger","- - -","1499","9.5%","23.3%","0.41",".267",".348",".480",".827",".212","4.6",".317","-3.3","0.8","0.0","222","42.2",".352","124","14274","571745"
"Carlos Correa","HOU","2151","10.8%","21.7%","0.50",".275",".355",".473",".829",".198","3.8",".320","6.5","-1.7","0.8","320","60.4",".352","125","14162","621043"
"Ryan Braun","MIL","2085","7.6%","18.8%","0.41",".277",".337",".502",".839",".225","5.1",".301","-0.6","-5.3","2.9","310","57.9",".352","117","3410","460075"
"Kyle Lewis","SEA","317","11.7%","31.5%","0.37",".264",".347",".477",".824",".213","3.7",".344","2.0","0.2","0.3","48","8.4",".351","127","19508","641786"
"Nick Castellanos","- - -","2696","6.6%","22.8%","0.29",".281",".333",".502",".835",".221","4.0",".332","-1.5","4.0","-4.3","400","72.9",".351","118","11737","592206"
"Joey Gallo","TEX","1662","14.1%","37.0%","0.38",".209",".329",".505",".834",".296","4.2",".265","6.9","6.9","-0.8","247","45.6",".351","113","14128","608336"
"Gleyber Torres","NYY","1248","9.0%","22.4%","0.40",".271",".340",".493",".834",".222","3.3",".304","-1.7","-0.1","0.0","187","34.5",".351","121","16997","650402"
"Francisco Lindor","CLE","3072","8.4%","13.9%","0.60",".281",".345",".488",".833",".207","5.3",".291","-0.7","-2.2","5.2","454","82.2",".351","118","12916","596019"
"Lourdes Gurriel Jr.","TOR","830","5.2%","23.3%","0.22",".287",".327",".508",".836",".222","3.5",".330","-1.4","0.5","-1.5","125","22.7",".350","120","19238","666971"
"Brandon Belt","SFG","2357","14.1%","22.1%","0.64",".256",".364",".451",".815",".195","3.7",".309","-6.1","6.8","-3.1","347","62.0",".350","120","10264","474832"
"Andy Young","ARI","34","14.7%","29.4%","0.50",".192",".382",".385",".767",".192","0.9",".267","0.1","0.1","0.0","5","0.9",".350","117","19521","670370"
"Rob Brantly","- - -","40","7.5%","37.5%","0.20",".257",".350",".457",".807",".200","0.8",".389","-0.1","0.2","0.0","6","1.0",".349","122","10655","542963"
"Jorge Soler","- - -","1484","11.0%","27.6%","0.40",".247",".339",".489",".828",".243","2.5",".295","-1.0","-0.7","-0.5","221","38.8",".349","117","14221","624585"
"Donovan Solano","- - -","454","4.6%","20.0%","0.23",".323",".357",".459",".816",".136","2.6",".393","-0.5","0.9","-0.8","68","11.1",".349","118","8623","456781"
"Lane Adams","ATL","151","9.3%","29.8%","0.31",".269",".340",".478",".818",".209","8.4",".349","1.3","-0.1","2.1","22","3.6",".348","112","10767","572669"
"Willson Contreras","CHC","1889","9.6%","23.6%","0.41",".265",".351",".463",".814",".199","3.4",".318","-7.1","-2.5","-3.3","277","48.0",".348","116","11609","575929"
"Robinson Cano","- - -","2316","7.0%","14.0%","0.50",".288",".342",".483",".825",".195","1.9",".300","-2.0","-4.2","-1.5","336","56.3",".348","123","3269","429664"
"Joc Pederson","LAD","1894","10.7%","22.6%","0.47",".238",".333",".491",".824",".253","3.7",".256","1.9","1.4","-2.9","276","46.7",".348","119","11899","592626"
"Ian Happ","CHC","1262","12.2%","31.5%","0.39",".248",".344",".481",".825",".233","4.7",".327","1.7","-0.7","-1.6","184","31.2",".348","116","17919","664023"
"David Dahl","COL","1020","6.5%","26.0%","0.25",".286",".334",".494",".828",".208","6.0",".358","2.1","3.4","-0.5","149","25.3",".348","102","13744","621311"
"Cavan Biggio","TOR","695","16.1%","26.5%","0.61",".240",".368",".430",".798",".190","5.8",".310","-0.1","2.3","3.5","104","16.4",".347","118","19252","624415"
"Eric Thames","- - -","1428","11.8%","31.0%","0.38",".237",".339",".486",".825",".249","4.9",".303","-3.4","4.6","0.5","209","34.0",".347","113","3711","519346"
"Mitch Garver","MIN","827","10.0%","25.5%","0.39",".256",".337",".487",".824",".231","3.2",".304","-1.7","0.3","-0.5","122","21.0",".347","118","15161","641598"
"Yasmani Grandal","- - -","2283","13.8%","24.8%","0.56",".240",".347",".463",".811",".223","2.6",".279","-18.6","-2.6","-2.3","332","54.6",".347","117","11368","518735"
"Sam Hilliard","COL","201","9.0%","32.3%","0.28",".236",".308",".527",".836",".291","7.0",".288","1.2","0.5","0.9","30","4.8",".347","101","17954","656541"
"Rafael Devers","BOS","1680","7.0%","21.7%","0.32",".279",".332",".498",".830",".219","4.1",".321","7.2","0.8","-2.4","247","41.1",".347","113","17350","646240"
"Jesus Aguilar","- - -","1468","10.1%","24.5%","0.42",".262",".339",".480",".819",".218","1.9",".302","-4.0","-2.1","-1.3","213","34.6",".347","116","11342","542583"
"Ryan Jeffers","MIN","62","8.1%","30.6%","0.26",".273",".355",".436",".791",".164","0.3",".364","-0.3","0.3","-0.1","9","1.4",".346","122","24618","680777"
"David Freese","- - -","1493","10.0%","25.1%","0.40",".279",".365",".434",".800",".156","1.6",".357","-8.6","-2.1","-1.4","214","34.7",".346","116","9549","501896"
"Anthony Recker","ATL","119","13.4%","19.3%","0.70",".268",".379",".412",".792",".144","2.1",".329","-0.3","0.5","0.1","17","2.8",".346","115","4063","489232"
"Ramon Laureano","OAK","879","7.6%","26.3%","0.29",".270",".343",".475",".818",".204","5.6",".335","6.0","1.5","2.1","129","20.4",".346","122","17128","657656"
"Gary Sanchez","NYY","1752","9.6%","26.3%","0.37",".237",".321",".503",".824",".266","2.4",".256","-5.2","1.4","-1.0","253","40.2",".346","117","11442","596142"
"Shin-Soo Choo","TEX","2298","12.4%","23.2%","0.53",".260",".365",".432",".797",".172","4.4",".317","0.8","-0.1","3.2","332","52.9",".346","109","3174","425783"
"Lonnie Chisenhall","CLE","783","7.2%","17.5%","0.41",".291",".347",".468",".815",".177","4.7",".332","1.7","1.6","0.5","111","17.8",".346","113","7571","502082"
