"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid","mlbamid"
"Will Harris","- - -","10.00","2.57","3.90","0.83","27.2%","7.0%","20.2%",".222","1.13",".290","76.9%","66","70","70","2.82","3.07","-0.24","3.08","3.18","3192","501789"
"Dylan Floro","- - -","8.16","2.89","2.83","0.50","21.6%","7.6%","14.0%",".233","1.22",".291","73.4%","72","74","90","2.96","3.07","-0.11","3.79","3.76","13394","571670"
"Garrett Whitlock","BOS","9.67","1.90","5.09","0.95","26.8%","5.3%","21.5%",".225","1.06",".287","77.8%","64","75","78","2.73","3.07","-0.34","3.21","3.07","20191","676477"
"Penn Murfee","SEA","9.87","2.34","4.22","0.91","27.9%","6.6%","21.3%",".190","0.95",".243","77.3%","81","80","91","2.99","3.10","-0.11","3.60","3.01","25174","682171"
"Joe Mantiply","- - -","8.83","2.49","3.55","0.69","22.9%","6.5%","16.5%",".264","1.32",".334","68.3%","83","77","80","3.51","3.11","0.40","3.33","3.32","14857","573009"
"Tucker Barnhart","DET","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".600","3.00",".600","66.7%","235","80","155","9.00","3.11","5.89","6.07","6.57","10200","571466"
"Randal Grichuk","COL","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","74","115","0.00","3.11","-3.11","4.59","4.60","10243","545341"
"Phil Gosselin","LAA","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","76","117","0.00","3.11","-3.11","4.59","4.60","10953","594838"
"Ildemaro Vargas","WSN","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","77","115","0.00","3.11","-3.11","4.59","4.60","13324","545121"
"Reese McGuire","BOS","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","79","155","0.00","3.11","-3.11","6.07","7.23","15674","624512"
"Pablo Reyes","MIL","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","78","115","0.00","3.11","-3.11","4.59","5.92","16357","622569"
"Sheldon Neuse","OAK","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".083","0.27",".083","100.0%","0","81","151","0.00","3.11","-3.11","5.94","6.80","19635","641914"
