"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid","mlbamid"
"Enny Romero","- - -","1","0.0%","0.0%","0.00","1.000","1.000","2.000","3.000","1.000","2.6","1.000","","","0.0","1","0.8","1.247","720","4001","544836"
"Vidal Nuno","TBR","2","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","1","0.9",".880","487","9674","573064"
"Derek Law","- - -","1","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","2.6","1.000","","","0.0","1","0.5",".880","476","13133","571882"
"Daniel Bard","COL","1","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","2.6","1.000","","","0.0","1","0.5",".879","448","7115","453268"
"Connor Overton","- - -","1","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","2.6","1.000","","","0.0","1","0.5",".879","462","18376","656818"
"Will Smith","- - -","2","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","1","1.0",".870","459","8048","519293"
"Oliver Drake","- - -","1","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","1","0.5",".870","475","8823","543118"
"Gregory Soto","DET","2","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","1","1.0",".870","470","19677","642397"
"Dan Jennings","- - -","3","0.0%","33.3%","0.00",".667",".667","1.000","1.667",".333","2.6","1.000","","","0.0","1","1.0",".709","359","8073","543359"
"Jake Brentz","KCR","1","100.0%","0.0%","1.00",".000","1.000",".000","1.000",".000","0.1",".000","","","0.0","0","0.3",".692","351","17783","641394"
"Justin Bruihl","LAD","1","100.0%","0.0%","1.00",".000","1.000",".000","1.000",".000","0.1",".000","","","0.0","0","0.3",".692","343","23779","677865"
"A.J. Cole","- - -","4","0.0%","25.0%","0.00",".333",".333","1.333","1.667","1.000","0.1",".000","","","0.0","2","1.2",".677","336","11467","595918"
"Daniel Camarena","SDP","3","0.0%","66.7%","0.00",".333",".333","1.333","1.667","1.000","0.1",".000","","","0.0","1","0.9",".669","330","14467","547176"
"Jesse Biddle","- - -","2","0.0%","0.0%","0.00",".500",".500","1.000","1.500",".500","0.1",".500","","","0.0","1","0.5",".624","300","11437","592145"
"Jakson Reetz","WSN","2","0.0%","0.0%","0.00",".500",".500","1.000","1.500",".500","2.6",".500","0.0","0.0","0.0","1","0.5",".621","293","17837","656883"
"Garrett Cleavinger","- - -","3","0.0%","33.3%","0.00",".500",".500","1.000","1.500",".500","0.1","1.000","","","0.0","1","0.8",".621","297","17897","664076"
"Ryder Jones","SFG","8","0.0%","62.5%","0.00",".375",".375","1.125","1.500",".750","0.1","1.000","0.0","0.0","0.0","3","2.0",".618","301","15982","624507"
