"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid","mlbamid"
"James Outman","LAD","16","12.5%","43.8%","0.29",".462",".563",".846","1.409",".385","2.6","1.000","0.5","0.1","0.0","5","3.5",".584","288","24770","681546"
"Trent Thornton","TOR","3","0.0%","0.0%","0.00",".667",".667",".667","1.333",".000","2.6",".667","","","0.0","1","0.7",".580","275","17948","663423"
"Otto Lopez","TOR","11","9.1%","18.2%","0.50",".600",".636",".600","1.236",".000","1.3",".750","0.2","0.0","-0.4","3","2.0",".545","270","19608","672640"
"Humberto Castellanos","- - -","7","0.0%","14.3%","0.00",".500",".429","1.000","1.429",".500","0.1",".400","","","0.0","2","1.3",".538","239","21183","528748"
"Randy Rosario","- - -","3","33.3%","0.0%","1.00",".500",".667",".500","1.167",".000","2.6",".500","","","0.0","1","0.5",".523","240","14508","600968"
"Francisco Liriano","- - -","4","25.0%","0.0%","1.00",".500",".667",".500","1.167",".000","0.1",".500","","","0.0","1","0.3",".520","149","3201","434538"
"Ryan Schimpf","LAA","7","28.6%","42.9%","0.67",".200",".429",".800","1.229",".600","2.6",".000","0.1","0.0","0.0","2","1.0",".487","216","9953","572114"
"Joe Dunand","MIA","11","0.0%","27.3%","0.00",".300",".364",".700","1.064",".400","2.6",".333","0.0","0.1","0.0","2","1.2",".449","197","19727","656388"
"Oscar Hernandez","KCR","4","0.0%","25.0%","0.00",".500",".500",".500","1.000",".000","2.6",".667","-0.6","-0.3","0.0","1","0.4",".441","182","13490","591712"
"Ian Kennedy","- - -","2","0.0%","0.0%","0.00",".500",".500",".500","1.000",".000","0.1",".500","","","0.0","0","0.2",".440","181","6986","453178"
"Jerry Blevins","- - -","2","0.0%","50.0%","0.00",".500",".500",".500","1.000",".000","0.1","1.000","","","0.0","0","0.2",".440","184","7841","460283"
"Chris Rusin","- - -","5","0.0%","20.0%","0.00",".500",".500",".500","1.000",".000","0.1",".667","","","0.0","1","0.5",".440","166","9895","543734"
"Christian Bergman","SEA","2","0.0%","0.0%","0.00",".500",".500",".500","1.000",".000","0.1",".500","","","0.0","0","0.2",".440","187","10925","548357"
"Zach Vincej","SEA","4","0.0%","25.0%","0.00",".500",".500",".500","1.000",".000","0.1",".667","0.0","0.0","0.0","1","0.4",".440","187","13269","572227"
"Tommy Hunter","- - -","2","0.0%","0.0%","0.00",".500",".500",".500","1.000",".000","2.6",".500","","","0.0","0","0.2",".440","184","1157","488984"
"Triston McKenzie","CLE","2","0.0%","0.0%","0.00",".500",".500",".500","1.000",".000","0.1",".500","","","0.0","0","0.2",".440","183","18000","663474"
"Garrett Whitlock","BOS","2","0.0%","50.0%","0.00",".500",".500",".500","1.000",".000","0.1","1.000","","","0.0","0","0.2",".440","178","20191","676477"
"Bailey Ober","MIN","2","0.0%","0.0%","0.00",".500",".500",".500","1.000",".000","0.1",".500","","","0.0","0","0.2",".440","185","21224","641927"
"David Hensley","HOU","34","14.7%","17.6%","0.83",".345",".441",".586","1.027",".241","4.7",".409","-0.3","-0.8","0.0","7","3.5",".440","194","25111","682073"
"Dalton Guthrie","PHI","28","21.4%","25.0%","0.86",".333",".500",".476",".976",".143","3.7",".462","0.0","0.1","0.1","6","2.8",".437","184","21293","656495"
"R.J. Alaniz","- - -","2","0.0%","50.0%","0.00",".500",".500",".500","1.000",".000","0.1","1.000","","","0.0","0","0.2",".435","175","10819","595798"
"Mike Trout","LAA","2094","16.6%","22.9%","0.73",".297",".424",".630","1.054",".333","5.1",".328","3.8","6.8","4.0","454","202.9",".432","179","10155","545361"
"Livan Soto","LAA","59","3.4%","22.0%","0.15",".400",".414",".582",".996",".182","5.7",".500","0.7","0.2","-0.3","12","5.4",".424","181","22471","670869"
"Sean Bouchard","COL","97","21.6%","25.8%","0.84",".297",".454",".500",".954",".203","0.5",".404","-0.1","0.4","-0.1","19","8.3",".417","158","21270","656248"
"Sam Gaviglio","TOR","3","0.0%","33.3%","0.00",".333",".333",".667","1.000",".333","0.1",".500","","","0.0","1","0.2",".416","166","12778","543208"
"Jorge Ona","SDP","15","13.3%","46.7%","0.29",".250",".400",".583",".983",".333","2.6",".500","-0.2","0.1","0.0","3","1.2",".415","166","20040","671250"
"Jake Faria","- - -","3","0.0%","33.3%","0.00",".333",".333",".667","1.000",".333","2.6",".500","","","0.0","1","0.2",".414","159","13699","607188"
"Aaron Judge","NYY","2388","14.1%","27.6%","0.51",".288",".392",".581",".972",".293","3.3",".344","3.6","0.4","0.0","465","180.4",".407","164","15640","592450"
"Yordan Alvarez","HOU","1537","11.7%","22.5%","0.52",".296",".384",".590",".973",".294","2.5",".329","1.1","-1.9","-1.3","300","115.7",".405","164","19556","670541"
"Elliot Soto","LAA","7","14.3%","14.3%","1.00",".333",".429",".500",".929",".167","2.6",".400","0.0","0.1","0.0","1","0.5",".403","157","11155","519303"
"Juan Soto","- - -","2667","19.0%","16.8%","1.13",".287",".424",".526",".950",".239","4.3",".309","-3.3","-0.6","-0.8","512","191.5",".401","153","20123","665742"
"John Means","BAL","8","12.5%","25.0%","0.50",".333",".429",".500",".929",".167","0.1",".500","","","0.0","2","0.9",".400","185","16269","607644"
"Fernando Tatis Jr.","SDP","1175","10.1%","27.6%","0.37",".292",".369",".596",".965",".303","6.6",".347","7.9","1.8","4.0","226","80.8",".399","153","19709","665487"
"Joey Meneses","WSN","240","6.3%","21.7%","0.29",".324",".367",".563",".930",".239","2.4",".371","-0.4","-2.4","0.0","44","16.3",".395","156","14366","608841"
"Brian O'Keefe","SEA","4","25.0%","50.0%","0.50",".333",".500",".333",".833",".000","0.1","1.000","0.0","0.0","0.0","1","0.3",".393","165","16680","657247"
"Liover Peguero","PIT","4","25.0%","50.0%","0.50",".333",".500",".333",".833",".000","0.1","1.000","0.0","0.0","0.0","1","0.3",".393","156","24273","678894"
"Ivan Castillo","SDP","4","25.0%","0.0%","1.00",".333",".500",".333",".833",".000","0.1",".333","0.0","0.0","0.0","1","0.3",".393","150","15971","622668"
"Mookie Betts","- - -","2755","11.8%","15.2%","0.77",".294",".383",".548",".931",".254","6.2",".305","10.5","2.5","6.0","505","174.1",".392","148","13611","605141"
"Freddie Freeman","- - -","3064","12.3%","16.5%","0.75",".310",".400",".527",".927",".217","4.3",".342","5.4","3.9","0.2","558","190.5",".390","145","5361","518692"
"Aaron Wilkerson","MIL","5","0.0%","40.0%","0.00",".200",".200",".800","1.000",".600","0.1",".000","","","0.0","1","0.3",".388","145","16904","658792"
"Bryce Harper","- - -","2646","16.0%","23.1%","0.69",".274",".393",".533",".927",".260","4.4",".316","-10.8","2.9","3.7","475","155.8",".387","142","11579","547180"
"Andy Burns","LAD","15","20.0%","6.7%","3.00",".273",".467",".364",".830",".091","1.6",".300","0.0","-0.1","0.0","3","0.9",".386","144","12779","542992"
"Will Brennan","CLE","45","4.4%","8.9%","0.50",".357",".400",".500",".900",".143","6.6",".378","0.3","0.2","-0.1","8","2.7",".385","155","25660","686823"
"Johnny Davis","TBR","4","0.0%","50.0%","0.00",".250",".250",".750","1.000",".500","5.1",".500","0.0","0.0","0.0","1","0.2",".382","146","15830","643275"
"Paul Goldschmidt","- - -","2933","12.0%","22.5%","0.53",".291",".379",".520",".899",".229","4.0",".341","4.6","6.0","1.5","513","160.5",".382","144","9218","502671"
"Canaan Smith-Njigba","PIT","7","14.3%","0.0%","1.00",".200",".429",".400",".829",".200","2.6",".200","0.0","-0.2","0.0","1","0.4",".381","148","23264","675986"
"Alex Bregman","HOU","2631","14.1%","12.3%","1.14",".276",".386",".505",".891",".228","3.1",".277","-2.1","-0.7","-1.6","456","141.1",".380","145","17678","608324"
"David Freese","- - -","498","9.4%","23.3%","0.41",".303",".376",".518",".894",".215","2.5",".365","-2.5","-0.6","-0.3","86","26.0",".379","139","9549","501896"
"Anthony Rendon","- - -","1917","11.7%","14.3%","0.82",".292",".381",".516",".897",".224","3.4",".307","6.7","-2.1","-0.4","332","99.5",".378","137","12861","543685"
"Mario Feliciano","MIL","6","33.3%","16.7%","2.00",".250",".500",".250",".750",".000","1.6",".333","0.1","0.0","0.0","1","0.3",".377","142","20263","666128"
"Matt Holliday","COL","65","18.5%","27.7%","0.67",".283",".415",".434",".849",".151","0.1",".394","0.1","0.4","-0.1","11","3.3",".377","124","1873","407812"
"Christian Yelich","MIL","2624","13.4%","23.0%","0.58",".283",".385",".503",".888",".220","6.2",".339","8.7","0.9","8.7","451","136.3",".377","137","11477","592885"
"Ronald Acuna Jr.","ATL","2297","11.4%","25.3%","0.45",".277",".370",".517",".887",".240","5.9",".333","13.6","1.7","6.3","392","115.0",".376","134","18401","660670"
"Dylan Cease","CHW","8","0.0%","37.5%","0.00",".375",".375",".500",".875",".125","1.6",".600","","","0.0","1","0.4",".375","139","18525","656302"
"Xander Bogaerts","BOS","2737","9.9%","18.1%","0.55",".300",".373",".507",".880",".207","3.7",".337","5.3","1.2","1.5","461","132.1",".373","134","12161","593428"
"J.D. Martinez","BOS","2773","9.7%","23.0%","0.42",".292",".363",".526",".889",".235","3.2",".342","-11.8","-7.7","-0.6","466","133.1",".373","134","6184","502110"
"Jose Ramirez","CLE","2815","11.7%","13.0%","0.90",".271",".360",".530",".890",".259","6.1",".264","12.3","9.6","11.1","467","129.9",".371","137","13510","608070"
"Oswald Peraza","NYY","57","10.5%","15.8%","0.67",".306",".404",".429",".832",".122","5.1",".359","-0.4","-0.6","0.3","9","2.8",".371","146","22823","672724"
"Conner Capel","- - -","59","8.5%","16.9%","0.50",".308",".356",".519",".875",".212","4.9",".317","0.2","-0.2","-0.3","10","2.9",".371","149","19983","668843"
"Royce Lewis","MIN","41","2.4%","12.2%","0.20",".300",".317",".550",".867",".250","1.2",".303","0.4","-0.2","0.0","7","2.0",".370","146","20437","668904"
"Nolan Arenado","- - -","2809","9.0%","14.3%","0.63",".287",".352",".535",".887",".248","3.0",".287","4.9","-2.6","-2.4","464","127.4",".370","127","9777","571448"
"Shohei Ohtani","LAA","2272","11.4%","26.9%","0.42",".267",".354",".532",".886",".265","6.0",".321","0.2","6.8","0.4","375","103.4",".370","137","19755","660271"
"Ji Hwan Bae","PIT","37","5.4%","16.2%","0.33",".333",".405",".424",".830",".091","6.2",".407","0.4","0.0","0.6","6","1.8",".370","139","23818","678225"
"Howie Kendrick","WSN","630","6.2%","15.1%","0.41",".322",".367",".516",".883",".194","2.8",".349","-2.0","-2.4","-0.6","105","27.4",".369","128","4229","435062"
"Lane Adams","ATL","29","13.8%","27.6%","0.50",".240",".345",".520",".865",".280","6.1",".267","0.7","-0.2","0.2","5","1.3",".369","130","10767","572669"
"Pete Alonso","NYM","2254","9.9%","22.1%","0.45",".261",".349",".535",".884",".274","3.0",".274","-11.7","0.0","-0.1","371","98.8",".368","138","19251","624413"
"Michael Harris II","ATL","441","4.8%","24.3%","0.20",".297",".339",".514",".853",".217","7.2",".361","2.6","0.5","2.8","71","20.2",".368","136","25931","671739"
"George Springer","- - -","2323","10.6%","19.5%","0.54",".272",".356",".508",".864",".237","4.8",".292","5.8","-0.9","-0.2","379","101.0",".367","136","12856","543807"
"Lonnie Chisenhall","CLE","95","8.4%","12.6%","0.67",".321",".394",".452",".846",".131","5.1",".366","0.7","0.0","0.1","15","4.0",".366","130","7571","502082"
"Vladimir Guerrero Jr.","TOR","2161","9.7%","16.4%","0.59",".284",".358",".504",".862",".221","3.1",".300","-8.2","-6.1","-1.3","352","91.6",".366","134","19611","665489"
"Brandon Nimmo","NYM","2073","13.7%","21.7%","0.63",".269",".388",".449",".837",".179","5.1",".333","4.2","2.0","-3.6","335","88.2",".366","138","12927","607043"
"Julio Rodriguez","SEA","560","7.1%","25.9%","0.28",".284",".345",".509",".853",".225","6.2",".345","2.0","0.6","1.7","89","25.1",".366","146","23697","677594"
"Justin Turner","LAD","2294","9.9%","15.5%","0.64",".289",".372",".480",".852",".191","3.0",".312","-6.9","1.4","-0.2","372","96.5",".366","133","5235","457759"
"Vinnie Pasquantino","KCR","298","11.7%","11.4%","1.03",".295",".383",".450",".832",".155","1.5",".306","-2.0","0.1","-0.2","47","13.1",".365","137","27676","686469"
"Jose Altuve","HOU","2639","9.3%","14.3%","0.65",".291",".362",".492",".854",".201","4.6",".307","5.3","-4.9","0.7","424","107.6",".365","135","5417","514888"
"Garrett Mitchell","MIL","68","8.8%","41.2%","0.21",".311",".373",".459",".832",".148","6.0",".548","0.2","0.5","1.5","11","3.0",".365","136","27555","669003"
"Manny Machado","- - -","2908","9.9%","17.3%","0.57",".284",".355",".512",".867",".228","4.2",".301","1.1","-4.4","2.0","464","115.3",".364","133","11493","592518"
"Will Smith","LAD","1412","10.8%","19.2%","0.56",".261",".356",".501",".856",".240","3.4",".276","-8.0","1.4","0.0","226","57.2",".363","132","19197","669257"
"Max Muncy","LAD","2475","15.4%","24.3%","0.63",".235",".361",".489",".850",".254","3.6",".258","3.5","8.6","-0.4","395","97.4",".362","130","13301","571970"
"Trevor Story","- - -","2562","8.4%","26.0%","0.32",".274",".341",".516",".858",".242","6.7",".332","7.8","5.0","8.2","406","97.2",".361","114","12564","596115"
"Kris Bryant","- - -","2005","10.6%","22.6%","0.47",".271",".365",".479",".843",".207","4.3",".324","7.8","2.6","-0.7","317","73.7",".360","124","15429","592178"
"Jesse Winker","- - -","1933","13.0%","17.1%","0.76",".268",".374",".458",".832",".189","2.1",".295","-13.1","-1.5","-2.2","304","72.9",".360","125","13590","608385"
"Trea Turner","- - -","2922","7.5%","17.9%","0.42",".301",".357",".486",".843",".185","6.9",".342","12.6","-0.4","16.6","458","108.7",".360","126","16252","607208"
"Stone Garrett","ARI","84","3.6%","32.1%","0.11",".276",".309",".539",".848",".263","5.7",".370","-0.1","-0.1","0.1","13","3.3",".360","131","19273","656448"
"Nelson Cruz","- - -","2417","9.8%","23.0%","0.42",".269",".350",".505",".855",".235","2.4",".301","-9.3","-5.1","-0.6","381","90.8",".359","130","2434","443558"
"Rafael Devers","BOS","2718","7.8%","20.8%","0.37",".282",".342",".514",".857",".232","3.7",".318","8.8","-0.1","-4.4","427","99.2",".359","125","17350","646240"
"Bryan Reynolds","PIT","2014","9.8%","21.7%","0.45",".281",".361",".481",".842",".200","4.6",".334","0.7","1.0","-1.8","317","73.5",".359","126","19326","668804"
"Austin Riley","ATL","1858","7.6%","26.5%","0.29",".272",".339",".507",".846",".235","2.5",".327","-5.7","0.8","-2.4","289","66.8",".359","125","18360","663586"
"Corbin Carroll","ARI","115","7.0%","27.0%","0.26",".260",".330",".500",".830",".240","6.0",".333","0.8","0.2","-0.1","18","4.4",".358","130","25878","682998"
"Anthony Rizzo","- - -","2645","10.5%","14.8%","0.71",".260",".364",".471",".836",".212","3.7",".265","-13.9","-0.5","-2.6","410","92.4",".357","126","3473","519203"
"Ryan Lavarnway","- - -","66","3.0%","27.3%","0.11",".317",".338",".508",".846",".190","1.1",".419","-1.5","0.3","0.0","10","2.2",".357","122","8879","543432"
"Michael Brantley","- - -","2240","8.0%","10.6%","0.76",".307",".367",".465",".832",".158","3.8",".324","-1.4","-0.3","-0.5","347","76.4",".357","127","4106","488726"
"Jeff McNeil","NYM","2039","6.8%","11.9%","0.57",".307",".370",".458",".827",".151","4.0",".332","-0.9","3.8","-1.9","316","70.4",".357","131","15362","643446"
"Giancarlo Stanton","NYY","1902","11.0%","29.2%","0.38",".255",".340",".499",".839",".244","2.3",".309","-6.8","-3.7","-0.7","292","66.8",".357","129","4949","519317"
"Tyler Stephenson","CIN","605","9.1%","21.7%","0.42",".296",".369",".454",".823",".158","2.3",".358","-0.2","-0.6","-0.4","93","21.3",".356","119","17988","663886"
"Rhys Hoskins","PHI","2665","13.2%","24.1%","0.55",".241",".350",".483",".833",".242","3.1",".276","-6.1","3.0","-2.6","409","89.7",".356","123","16472","656555"
"Kyle Schwarber","- - -","2484","13.2%","27.7%","0.48",".236",".342",".503",".845",".266","3.7",".270","-5.2","3.5","-1.5","381","82.6",".356","123","16478","656941"
"Jose Abreu","CHW","2846","7.5%","20.1%","0.37",".283",".349",".489",".839",".206","2.3",".319","-2.7","-9.2","-2.1","436","94.1",".355","127","15676","547989"
"Bo Bichette","TOR","1727","5.8%","21.4%","0.27",".297",".340",".491",".831",".194","5.0",".347","2.2","-1.3","2.0","265","58.8",".355","127","19612","666182"
"Ketel Marte","ARI","2335","8.6%","14.9%","0.58",".285",".351",".485",".836",".199","5.1",".311","1.2","-1.1","1.5","358","77.6",".355","121","13613","606466"
"Kyle Tucker","HOU","1548","9.0%","17.1%","0.53",".268",".335",".502",".837",".235","6.0",".282","1.5","1.9","6.1","236","51.4",".354","129","18345","663656"
"Adley Rutschman","BAL","470","13.8%","18.3%","0.76",".254",".362",".445",".806",".191","4.2",".291","3.9","0.8","0.3","70","16.5",".354","133","26288","668939"
"Spencer Howard","- - -","7","0.0%","42.9%","0.00",".333",".333",".500",".833",".167","0.1",".667","","","0.0","1","0.2",".353","120","23252","675921"
"Matt Olson","- - -","2824","11.3%","23.4%","0.48",".250",".342",".495",".837",".244","2.1",".278","-2.7","0.9","-1.4","428","90.0",".353","128","14344","621566"
"Brian Navarreto","MIA","5","0.0%","20.0%","0.00",".400",".400",".400",".800",".000","0.1",".500","0.0","0.0","0.0","1","0.1",".353","123","16398","640459"
"Joey Votto","CIN","2363","14.5%","20.8%","0.70",".256",".371",".444",".815",".189","2.7",".298","-10.3","-2.4","-0.3","358","73.1",".353","116","4314","458015"
"Corey Seager","- - -","1960","9.1%","16.4%","0.55",".273",".344",".489",".833",".215","3.3",".290","3.6","-0.9","-0.7","298","61.6",".353","125","13624","608369"
"Dennis Santana","- - -","6","0.0%","50.0%","0.00",".333",".333",".500",".833",".167","0.1",".667","","","0.0","1","0.2",".353","127","17878","642701"
"Luke Voit","- - -","1714","10.6%","28.7%","0.37",".255",".344",".480",".824",".225","1.8",".315","-8.7","-2.2","-1.5","260","53.8",".353","126","14811","572228"
"Nick Castellanos","- - -","2727","6.6%","22.5%","0.29",".285",".337",".498",".835",".213","3.8",".335","-0.6","0.8","-2.0","413","84.9",".353","119","11737","592206"
"Brandon Lowe","TBR","1580","10.2%","27.7%","0.37",".249",".335",".495",".830",".246","4.9",".299","9.1","4.7","1.6","240","48.4",".352","129","18882","664040"
"Patrick Kivlehan","- - -","22","9.1%","40.9%","0.22",".235",".364",".471",".834",".235","5.1",".444","0.3","0.0","0.0","3","0.7",".352","121","13910","623182"
"Charlie Blackmon","COL","2736","7.5%","17.6%","0.42",".287",".349",".478",".826",".190","5.0",".321","1.1","0.5","-2.1","412","83.3",".352","107","7859","453568"
"Eugenio Suarez","- - -","2702","10.8%","28.3%","0.38",".244",".335",".496",".830",".252","2.5",".286","-13.2","-0.8","-2.4","405","80.9",".351","119","12552","553993"
"Shin-Soo Choo","TEX","1452","12.6%","24.4%","0.52",".262",".369",".440",".810",".178","4.4",".327","1.4","0.7","2.7","217","40.3",".351","113","3174","425783"
"Eloy Jimenez","CHW","1288","6.7%","24.8%","0.27",".276",".327",".504",".831",".228","1.6",".318","1.4","-1.2","-0.9","194","36.5",".351","124","17484","650391"
"Alex De Goti","HOU","7","14.3%","28.6%","0.50",".333",".429",".333",".762",".000","2.6",".500","0.4","0.1","0.0","1","0.2",".350","123","19477","621008"
"Starling Marte","- - -","2473","5.7%","17.8%","0.32",".292",".348",".468",".816",".177","7.1",".332","10.8","-1.0","9.8","368","70.3",".350","122","9241","516782"
"Carlos Correa","- - -","2240","10.7%","21.1%","0.51",".272",".352",".465",".817",".193","2.6",".312","0.5","-5.4","-1.5","332","64.7",".350","125","14162","621043"
"Byron Buxton","MIN","1160","6.1%","26.7%","0.23",".250",".305",".528",".833",".279","6.8",".284","5.3","5.2","4.4","172","32.9",".350","124","14161","621439"
"Michael Conforto","NYM","1998","12.6%","23.5%","0.54",".254",".360",".455",".815",".201","2.8",".301","1.7","0.5","-2.4","298","54.6",".349","123","16376","624424"
"Troy Tulowitzki","NYY","13","15.4%","30.8%","0.50",".182",".308",".545",".853",".364","0.1",".167","0.0","-0.3","0.0","2","0.3",".349","119","3531","453064"
"William Contreras","ATL","571","10.2%","28.4%","0.36",".260",".338",".471",".809",".211","3.2",".325","-3.8","0.4","-0.2","84","17.0",".349","121","20503","661388"
"Mark Canha","- - -","2318","11.3%","20.4%","0.55",".253",".366",".432",".798",".179","4.6",".294","-1.0","2.9","-0.4","344","65.2",".349","127","11445","592192"
"Brendan Donovan","STL","468","12.8%","15.0%","0.86",".281",".394",".379",".773",".097","2.9",".330","-0.2","-0.3","-1.4","68","14.5",".349","129","24679","680977"
"Mitch Garver","- - -","1233","10.6%","26.0%","0.41",".250",".336",".484",".820",".234","2.7",".294","-0.9","0.4","-1.2","183","34.1",".348","121","15161","641598"
"Nathaniel Lowe","- - -","1532","9.8%","25.3%","0.39",".278",".352",".454",".805",".175","3.7",".349","-4.7","0.2","-0.1","225","42.8",".348","125","19566","663993"
"C.J. Cron","- - -","2290","7.8%","24.0%","0.32",".260",".331",".490",".821",".231","2.1",".297","-5.7","-2.7","-2.0","336","62.9",".348","114","12546","543068"
"Randy Arozarena","- - -","1348","8.2%","26.1%","0.31",".269",".344",".463",".807",".193","5.8",".341","-2.5","-0.6","1.0","198","38.6",".347","129","19290","668227"
"Drew Waters","KCR","109","11.0%","36.7%","0.30",".240",".324",".479",".803",".240","3.6",".353","-0.4","0.3","-0.1","16","3.3",".347","125","20505","671221"
"Teoscar Hernandez","TOR","2324","7.3%","29.2%","0.25",".263",".321",".499",".819",".235","4.6",".329","3.1","-1.7","-1.2","340","61.8",".347","120","13066","606192"
"Joc Pederson","- - -","2009","9.1%","22.2%","0.41",".247",".327",".493",".820",".246","3.6",".268","2.1","0.5","-4.3","294","52.3",".347","120","11899","592626"
"J.T. Realmuto","- - -","2418","7.6%","21.6%","0.35",".272",".339",".476",".814",".203","5.6",".315","15.9","3.5","4.9","353","62.7",".347","118","11739","592663"
"Josh Bell","- - -","2634","12.1%","18.4%","0.66",".263",".354",".461",".814",".198","2.6",".290","-11.0","-4.2","-4.6","386","69.7",".347","118","13145","605137"
"Josh Donaldson","- - -","2069","13.4%","23.9%","0.56",".243",".350",".459",".809",".216","2.3",".281","-7.5","-3.6","-1.7","305","55.3",".347","119","5038","518626"
"Yandy Diaz","- - -","1704","12.7%","14.2%","0.89",".279",".374",".420",".793",".140","2.6",".310","-5.1","-3.5","-3.0","249","44.5",".347","127","16578","650490"
"Yasmani Grandal","- - -","2095","16.4%","23.0%","0.71",".234",".362",".434",".796",".200","2.5",".269","-19.7","-3.9","-1.0","307","54.3",".346","118","11368","518735"
"Luis Robert","CHW","924","5.5%","22.8%","0.24",".289",".334",".474",".808",".184","4.8",".345","4.5","1.1","1.9","135","24.6",".346","122","20043","673357"
"Jose Alvarez","- - -","5","40.0%","40.0%","1.00",".000",".500",".000",".500",".000","2.6",".000","","","0.0","1","0.1",".346","118","5358","501625"
"Wily Peralta","- - -","2","50.0%","0.0%","1.00",".000",".500",".000",".500",".000","0.1",".000","","","0.0","0","0.1",".346","121","7738","503449"
"Hoby Milner","- - -","2","50.0%","50.0%","1.00",".000",".500",".000",".500",".000","0.1",".000","","","0.0","0","0.1",".346","116","13346","571948"
"Clarke Schmidt","NYY","2","50.0%","50.0%","1.00",".000",".500",".000",".500",".000","0.1",".000","","","0.0","0","0.1",".346","121","19899","657376"
"Reid Detmers","LAA","2","50.0%","50.0%","1.00",".000",".500",".000",".500",".000","0.1",".000","","","0.0","0","0.1",".346","118","27468","672282"
"Brandon Belt","SFG","1930","12.8%","23.5%","0.54",".250",".353",".453",".806",".203","3.8",".297","-2.5","2.0","-1.2","281","47.6",".346","118","10264","474832"
"Alejandro Kirk","TOR","755","11.0%","11.1%","0.99",".278",".362",".426",".788",".149","1.0",".287","-7.2","-1.2","-0.9","108","20.6",".345","124","22581","672386"
"Chasen Shreve","- - -","2","50.0%","50.0%","1.00",".000",".500",".000",".500",".000","0.1",".000","","","0.0","0","0.1",".345","121","10855","592741"
"Vaughn Grissom","ATL","156","7.1%","21.8%","0.32",".291",".353",".440",".792",".149","4.7",".350","0.9","1.0","0.0","22","4.4",".345","121","26031","687093"
"Jorge De La Rosa","- - -","2","50.0%","0.0%","1.00",".000",".500",".000",".500",".000","2.6",".000","","","0.0","0","0.0",".345","115","2047","407822"
"Brian Duensing","CHC","2","50.0%","50.0%","1.00",".000",".500",".000",".500",".000","2.6",".000","","","0.0","0","0.0",".345","117","4064","488846"
"Luke Jackson","ATL","3","33.3%","0.0%","1.00",".000",".500",".000",".500",".000","2.6",".000","","","0.0","0","0.1",".345","114","11752","592426"
"Darnell Sweeney","TOR","4","50.0%","0.0%","2.00",".000",".500",".000",".500",".000","0.1",".000","-0.3","0.0","0.0","1","0.1",".345","118","13284","572182"
