Name,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
Tim Beckham,3.5,5,384,1310,162,330,48,151,12,90,0.252,0.304,0.424,0.728,,,,,,,,,,,,
Martín Pérez,3.4,7,11,20,0,1,0,0,0,0,0.05,0.05,0.05,0.1,43,49,4.63,1.479,141,128,0,761.1,856,81,270,462
Cody Allen,3.4,7,32,0,0,0,0,0,0,0,,,,,24,29,2.98,1.189,456,0,149,440.2,351,46,173,564
Derek Dietrich,3.3,6,608,1879,268,477,60,204,5,144,0.254,0.335,0.422,0.757,,,,,,,,,,,,
Cory Gearrin,3.3,7,234,3,0,1,0,0,0,0,0.333,0.333,0.333,0.667,12,9,3.54,1.285,270,0,5,246.2,213,18,104,235
Lance Lynn,3.3,7,173,276,15,23,0,5,0,12,0.083,0.127,0.101,0.229,82,57,3.57,1.321,214,190,1,1134.1,1053,100,445,1080
David Phelps,3.2,6,132,52,0,6,0,1,0,0,0.115,0.132,0.115,0.247,30,33,3.89,1.32,228,64,5,553.2,515,57,216,520
Jeurys Familia,3.2,7,300,5,0,2,0,1,0,0,0.4,0.4,0.4,0.8,17,19,2.73,1.211,343,1,124,352.2,284,16,143,369
Logan Morrison,3.1,9,959,3271,408,782,137,421,23,387,0.239,0.325,0.427,0.752,,,,,,,,,,,,
Blake Parker,3.1,6,77,0,0,0,0,0,0,0,,,,,8,7,3.29,1.163,229,0,24,224.1,193,30,68,256
Lonnie Chisenhall,3.1,8,688,2159,261,578,64,296,20,150,0.268,0.32,0.427,0.747,,,,,,,,,,,,
Adam Wainwright,3.1,13,362,635,48,128,10,69,0,22,0.202,0.228,0.309,0.536,148,85,3.32,1.213,352,285,3,1932,1831,145,512,1623
Trevor Cahill,3,10,178,179,7,21,0,12,0,5,0.117,0.141,0.145,0.287,80,83,4.08,1.359,304,208,1,1343.1,1278,138,548,1007
Dan Jennings,2.9,7,184,4,1,2,0,0,0,0,0.5,0.5,0.75,1.25,16,18,2.96,1.404,382,1,2,344,333,24,150,272
Martín Maldonado,2.9,8,612,1767,171,388,51,193,2,130,0.22,0.289,0.35,0.639,,,,,,,,,,,,
Carlos González,2.8,11,1332,4888,800,1403,231,775,122,430,0.287,0.345,0.506,0.851,,,,,,,,,,,,
Robbie Grossman,2.8,6,537,1776,239,455,36,193,20,265,0.256,0.355,0.378,0.732,,,,,,,,,,,,
Matt Shoemaker,2.8,6,4,6,0,0,0,0,0,1,0,0.143,0,0.143,40,32,3.93,1.204,101,93,0,545,527,74,129,490
Justin Wilson,2.7,7,231,7,0,0,0,0,0,0,0,0,0,0,26,19,3.33,1.268,412,0,14,370.2,304,27,166,407
Jon Jay,2.7,9,1131,3609,513,1030,36,327,55,274,0.285,0.352,0.378,0.729,,,,,,,,,,,,
Matt Bush,2.7,3,8,0,0,0,0,0,0,0,,,,,10,6,3.35,1.248,136,0,11,137,124,14,47,138
Brian McCann,2.7,14,1670,5790,714,1521,270,973,25,609,0.263,0.338,0.454,0.791,,,,,,,,,,,,
Hunter Strickland,2.6,5,243,1,0,0,0,0,0,0,0,0,0,0,14,14,2.91,1.195,253,0,19,226,191,17,79,211
Jesse Chavez,2.6,11,185,17,0,1,0,0,0,0,0.059,0.059,0.059,0.118,38,53,4.45,1.348,415,70,7,838,863,125,267,747
Jerry Blevins,2.5,12,284,4,0,1,0,1,0,0,0.25,0.25,0.25,0.5,29,13,3.52,1.233,564,1,6,463,392,45,179,471
Tony Barnette,2.5,3,6,0,0,0,0,0,0,0,,,,,11,4,3.5,1.25,125,0,2,144,137,13,43,132
Joakim Soria,2.5,11,90,0,0,0,0,0,0,0,,,,,31,35,2.88,1.126,639,0,220,634.1,525,51,189,688
Tyler Clippard,2.4,12,473,15,0,3,0,0,0,0,0.2,0.2,0.267,0.467,52,46,3.16,1.127,698,9,68,754,540,98,310,841
Zach Duke,2.4,14,347,318,17,57,2,23,0,12,0.179,0.208,0.22,0.428,66,90,4.3,1.447,540,169,4,1336.2,1533,128,401,836
Carlos Torres,2.4,9,334,34,2,4,0,2,0,2,0.118,0.167,0.118,0.284,30,31,4.04,1.346,358,16,5,500.2,483,61,191,439
Nathan Eovaldi,2.4,7,92,149,8,12,0,2,0,6,0.081,0.116,0.081,0.197,44,53,4.16,1.348,156,148,0,850,887,80,259,640
Clay Buchholz,2.3,12,29,46,0,4,0,1,0,2,0.087,0.125,0.109,0.234,88,64,3.86,1.29,224,206,0,1273.1,1200,126,442,985
Jung Ho Kang,2.3,3,232,745,105,204,36,120,8,64,0.274,0.355,0.482,0.837,,,,,,,,,,,,
Nick Vincent,2.2,7,169,2,0,0,0,0,0,0,0,0,0,0,20,17,3.17,1.108,352,1,4,332,286,29,82,332
Melky Cabrera,2.2,14,1754,6500,852,1856,137,807,99,493,0.286,0.335,0.418,0.753,,,,,,,,,,,,
Jason Hammel,2.2,13,189,344,21,52,1,21,0,7,0.151,0.168,0.183,0.351,96,114,4.62,1.373,377,298,4,1810.1,1919,232,567,1428
Lucas Duda,2.1,9,919,2993,380,723,152,455,6,383,0.242,0.337,0.452,0.789,,,,,,,,,,,,
Cameron Rupp,2.1,5,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Gómez,2,12,1427,4638,665,1172,142,536,264,312,0.253,0.313,0.412,0.726,0,0,81,12,1,0,0,0.1,0,0,4,0
Adeiny Hechavarria,2,7,811,2809,270,714,28,238,32,145,0.254,0.29,0.345,0.635,,,,,,,,,,,,
Jordy Mercer,2,7,821,2710,291,693,55,277,13,222,0.256,0.316,0.383,0.699,,,,,,,,,,,,
Adam Rosales,1.9,11,651,1621,186,367,48,179,17,135,0.226,0.291,0.365,0.656,,,,,,,,,,,,
Mark Reynolds,1.9,12,1610,5297,781,1260,294,851,62,685,0.238,0.329,0.456,0.785,0,0,0,0,1,0,0,0.1,0,0,0,0
Oliver Pérez,1.9,16,429,344,14,56,0,15,3,14,0.163,0.194,0.169,0.363,70,87,4.39,1.439,603,195,3,1399.1,1272,192,742,1479
Adam Warren,1.8,7,49,6,0,0,0,0,0,0,0,0,0,0,26,23,3.42,1.221,298,21,6,463.2,407,47,159,403
Shawn Kelley,1.8,10,187,2,0,0,0,0,0,0,0,0,0,0,27,23,3.67,1.167,443,0,15,417.1,357,64,130,478
George Kontos,1.8,8,313,7,0,0,0,0,0,0,0,0,0,0,18,18,3.1,1.154,350,0,2,357,309,38,103,288
Zach McAllister,1.7,8,19,6,0,1,0,0,0,0,0.167,0.167,0.167,0.333,29,35,4.09,1.388,280,68,1,591.2,622,69,199,542
Brandon Guyer,1.7,7,517,1291,184,323,32,137,22,91,0.25,0.339,0.388,0.727,0,0,0,0,1,0,0,1,0,0,0,0
Stephen Vogt,1.7,6,521,1643,181,413,57,218,1,139,0.251,0.31,0.416,0.726,,,,,,,,,,,,
Wilmer Flores,1.7,6,581,1866,214,488,68,253,3,105,0.262,0.303,0.424,0.727,,,,,,,,,,,,
Héctor Santiago,1.7,8,19,20,0,3,0,0,0,0,0.15,0.15,0.15,0.3,46,49,4.05,1.37,238,137,6,887,808,135,407,786
Cory Spangenberg,1.7,5,387,1155,143,298,27,109,31,93,0.258,0.318,0.391,0.709,0,0,13.5,3.5,2,0,0,2,4,0,3,0
Matt Adams,1.7,7,707,2026,248,539,96,332,4,139,0.266,0.314,0.47,0.784,,,,,,,,,,,,
Garrett Richards,1.7,8,9,13,0,0,0,0,0,0,0,0,0,0,45,38,3.54,1.249,170,115,2,744.2,662,62,268,645
James McCann,1.6,5,452,1536,135,368,40,177,2,91,0.24,0.288,0.366,0.653,,,,,,,,,,,,
Chris Owings,1.6,6,580,1960,225,490,31,196,70,109,0.25,0.291,0.378,0.669,,,,,,,,,,,,
Sergio Romo,1.5,11,533,7,0,0,0,0,0,0,0,0,0,0,38,31,2.86,1.006,643,5,109,562.2,438,59,128,632
Jake Diekman,1.5,7,209,0,0,0,0,0,0,0,,,,,14,15,3.75,1.397,365,0,7,312,267,20,169,383
René Rivera,1.4,10,506,1402,110,309,40,164,1,86,0.22,0.271,0.353,0.624,,,,,,,,,,,,
Matt Wieters,1.4,10,1081,3791,422,953,135,519,8,353,0.251,0.315,0.41,0.725,,,,,,,,,,,,
Vidal Nuno III,1.4,6,24,28,2,4,0,2,0,0,0.143,0.172,0.143,0.315,8,21,4.06,1.279,155,42,0,377,377,65,105,312
Hunter Pence,1.4,12,1607,6082,834,1701,224,877,114,491,0.28,0.334,0.458,0.792,,,,,,,,,,,,
Greg Holland,1.4,8,132,0,0,0,0,0,0,0,,,,,23,20,2.83,1.181,426,0,189,423.1,317,25,183,547
Derek Holland,1.4,10,42,68,3,5,0,0,0,3,0.074,0.113,0.088,0.201,76,73,4.44,1.363,244,214,0,1291.1,1307,182,453,1063
Luis Avilán,1.4,7,324,7,0,1,0,0,0,0,0.143,0.143,0.143,0.286,19,10,3.09,1.225,399,0,2,308.2,260,15,118,276
Aníbal Sánchez,1.4,13,162,294,7,23,0,7,0,17,0.078,0.129,0.088,0.217,97,100,3.99,1.306,309,286,0,1729.1,1682,192,577,1549
Ronald Torreyes,1.4,4,229,576,65,162,4,56,4,24,0.281,0.31,0.375,0.685,,,,,,,,,,,,
Wade Miley,1.3,8,126,239,12,37,1,12,0,9,0.155,0.185,0.188,0.374,71,76,4.26,1.388,216,212,0,1236.1,1287,134,429,975
Joe Kelly,1.3,7,91,87,7,15,0,5,1,0,0.172,0.189,0.218,0.407,43,25,3.87,1.385,250,79,2,625.1,612,55,254,498
Danny Coulombe,1.2,5,20,1,0,0,0,0,0,0,0,0,0,0,6,4,4.27,1.326,153,0,0,143.1,129,16,61,134
Caleb Joseph,1.1,5,402,1217,126,272,31,122,2,71,0.224,0.271,0.353,0.623,,,,,,,,,,,,
Nate Karns,1.1,5,7,8,1,1,1,1,0,0,0.125,0.125,0.5,0.625,16,11,4.37,1.339,63,54,1,310.2,292,47,124,321
Randall Delgado,1.1,8,257,87,5,14,0,2,0,1,0.161,0.17,0.161,0.331,30,29,4.1,1.325,271,53,2,542.2,516,67,203,465
Eric Sogard,1.1,8,584,1556,182,370,11,125,35,149,0.238,0.309,0.314,0.623,,,,,,,,,,,,
Erasmo Ramírez,1.1,7,14,14,0,2,0,1,0,0,0.143,0.143,0.143,0.286,32,39,4.36,1.253,192,92,3,637.2,618,97,181,496
Ryan Merritt,1.1,2,,,,,,,,,,,,,,,,,,,,,,,,
Josh Tomlin,1,9,14,19,2,7,0,1,0,0,0.368,0.368,0.421,0.789,61,53,4.77,1.226,183,144,0,898.2,969,167,133,612
Bud Norris,1,10,227,204,10,32,0,12,0,7,0.157,0.191,0.191,0.382,67,90,4.45,1.396,355,188,47,1221.1,1220,156,485,1153
Aaron Loup,1,7,29,1,0,0,0,0,0,0,0,0,0,0,12,20,3.49,1.271,378,0,6,322.2,311,25,99,299
Paulo Orlando,1,4,278,874,98,230,14,81,18,22,0.263,0.289,0.384,0.673,,,,,,,,,,,,
Tyler Lyons,1,6,142,40,3,5,0,1,0,5,0.125,0.222,0.125,0.347,12,10,4.09,1.204,147,20,3,268.1,239,36,84,272
Alex Dickerson,1,2,95,261,39,67,10,37,5,26,0.257,0.331,0.448,0.779,,,,,,,,,,,,
Chris Herrmann,1,7,340,803,99,165,24,95,10,85,0.205,0.282,0.351,0.633,,,,,,,,,,,,
Peter Bourjos,1,9,849,2072,280,498,43,168,66,133,0.24,0.296,0.382,0.678,,,,,,,,,,,,
Xavier Cedeño,0.9,8,96,1,0,0,0,0,0,0,0,0,0,0,10,7,3.69,1.366,249,0,3,175.2,171,16,69,174
Craig Gentry,0.9,10,601,1242,180,325,7,104,94,102,0.262,0.333,0.339,0.672,,,,,,,,,,,,
Sean Rodríguez,0.9,11,1023,2447,320,553,77,286,41,206,0.226,0.3,0.38,0.68,,,,,,,,,,,,
Marc Rzepczynski,0.9,10,175,1,0,0,0,0,0,0,0,0,0,0,14,27,3.89,1.436,506,23,2,434.2,419,36,205,409
Ezequiel Carrera,0.9,7,,,,,,,,,,,,,,,,,,,,,,,,
Alex Meyer,0.9,3,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Descalso,0.9,9,997,2351,306,564,46,279,24,280,0.24,0.324,0.37,0.694,0,0,4.76,0.882,5,0,0,5.2,4,2,1,2
Rajai Davis,0.9,13,1419,4219,633,1106,61,379,415,266,0.262,0.311,0.379,0.69,,,,,,,,,,,,
Pedro Álvarez,0.9,9,910,2980,365,704,162,472,15,314,0.236,0.31,0.447,0.757,,,,,,,,,,,,
Kyle Ryan,0.9,4,4,0,0,0,0,0,0,0,,,,,8,6,3.87,1.336,86,7,0,128,127,11,44,70
Kelby Tomlinson,0.9,4,273,618,77,164,3,47,19,58,0.265,0.331,0.332,0.663,,,,,,,,,,,,
Edwin Jackson,0.8,16,240,294,24,49,2,13,1,14,0.167,0.204,0.201,0.405,104,123,4.6,1.446,394,305,1,1892.1,1989,226,747,1456
Jorge De La Rosa,0.8,15,381,379,22,48,0,27,0,7,0.127,0.144,0.137,0.282,104,87,4.58,1.444,430,241,1,1522.2,1510,178,688,1273
Cliff Pennington,0.8,11,971,2799,324,678,36,242,84,266,0.242,0.309,0.339,0.648,0,0,9,3,1,0,0,1,1,0,2,1
Nick Hundley,0.8,11,943,3027,314,752,91,371,15,217,0.248,0.3,0.406,0.706,,,,,,,,,,,,
Danny Farquhar,0.8,7,10,0,0,0,0,0,0,0,,,,,10,15,3.93,1.259,253,0,18,272.1,237,30,106,309
Gregory Infante,0.8,3,4,0,0,0,0,0,0,0,,,,,3,2,3.56,1.332,67,0,0,68.1,59,4,32,60
Alec Asher,0.7,4,15,18,0,3,0,2,0,0,0.167,0.167,0.222,0.389,4,12,5.42,1.379,38,18,0,119.2,127,19,38,78
Ryan Goins,0.7,6,489,1392,137,317,20,148,6,90,0.228,0.274,0.333,0.607,,,,,,,,,,,,
Matt Moore,0.7,8,53,85,5,9,0,5,0,2,0.106,0.126,0.106,0.232,54,56,4.56,1.413,179,149,0,884.2,882,114,368,797
Devin Mesoraco,0.6,8,468,1402,152,325,58,192,4,138,0.232,0.309,0.406,0.715,,,,,,,,,,,,
Boog Powell,0.6,2,59,141,27,37,3,12,1,16,0.262,0.333,0.383,0.716,,,,,,,,,,,,
Lane Adams,0.6,3,117,137,30,36,7,26,11,14,0.263,0.333,0.467,0.8,,,,,,,,,,,,
Carlos Ramirez,0.6,2,0,0,0,0,0,0,0,0,,,,,0,0,2.88,0.84,17,0,0,25,9,3,12,19
Louis Coleman,0.6,7,71,1,0,0,0,0,0,0,0,0,0,0,12,6,3.51,1.294,264,0,2,276.2,232,36,126,272
John Axford,0.5,10,354,1,0,0,0,0,0,0,0,0,0,0,38,34,3.87,1.414,543,1,144,525.1,483,50,260,589
Tony Sipp,0.5,10,84,1,0,0,0,0,0,0,0,0,0,0,25,20,3.67,1.239,580,0,7,482.2,386,73,212,513
Ty Kelly,0.5,3,118,158,21,32,3,21,0,20,0.203,0.288,0.323,0.611,,,,,,,,,,,,
Francisco Liriano,0.5,13,113,217,7,33,2,15,0,8,0.152,0.182,0.194,0.376,107,111,4.18,1.359,350,300,1,1743.2,1589,176,781,1752
Ian Krol,0.5,6,145,3,0,0,0,0,0,0,0,0,0,0,8,6,4.5,1.468,225,0,1,190,206,27,73,178
Carson Smith,0.5,5,7,0,0,0,0,0,0,0,,,,,4,6,2.21,1.059,108,0,14,102,74,4,34,129
Jeff Mathis,0.5,14,835,2419,232,480,48,265,10,185,0.198,0.258,0.306,0.564,0,1,9,2,3,0,0,3,5,1,1,1
Dustin Garneau,0.5,4,88,252,23,49,5,24,0,25,0.194,0.269,0.321,0.59,,,,,,,,,,,,
Tommy Layne,0.5,6,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Lobstein,0.4,3,13,2,0,0,0,0,0,0,0,0,0,0,6,10,5.06,1.461,34,17,0,128,138,12,49,74
Fernando Rodriguez Jr.,0.4,9,,,,,,,,,,,,,,,,,,,,,,,,
Shane Robinson,0.4,9,461,760,105,168,7,66,19,73,0.221,0.288,0.292,0.58,,,,,,,,,,,,
Deolis Guerra,0.4,3,13,1,0,0,0,0,0,0,0,0,0,0,7,2,4.17,1.263,73,0,0,95,98,15,22,75
Eric Young Jr.,0.3,10,651,1725,275,422,13,112,162,147,0.245,0.312,0.332,0.643,,,,,,,,,,,,
Jesús Sucre,0.3,6,223,597,47,133,10,66,3,26,0.223,0.259,0.308,0.568,0,0,18,3.5,5,0,0,4,12,1,2,0
Shane Peterson,0.3,5,,,,,,,,,,,,,,,,,,,,,,,,
Rob Brantly,0.3,4,125,387,32,89,7,37,1,33,0.23,0.294,0.333,0.628,,,,,,,,,,,,
Sean Gilmartin,0.3,4,64,7,2,3,0,1,0,0,0.429,0.429,0.571,1,4,4,3.84,1.32,78,2,0,105.1,102,12,37,84
Tim Collins,0.2,5,51,1,0,0,0,0,0,0,0,0,0,0,12,17,3.62,1.412,266,0,0,233.2,197,23,133,241
Jason Coats,0.2,2,,,,,,,,,,,,,,,,,,,,,,,,
Luis Santos,0.2,2,1,0,0,0,0,0,0,0,,,,,1,2,5.15,1.5,25,1,1,36.2,41,8,14,40
Rob Scahill,0.2,7,113,5,0,0,0,0,0,1,0,0.167,0,0.167,5,7,3.85,1.443,124,0,0,149.2,157,16,59,99
Hernan Iribarren,0.2,10,,,,,,,,,,,,,,,,,,,,,,,,
Adrian Sampson,0.2,2,0,0,0,0,0,0,0,0,,,,,0,4,4.88,1.337,6,5,0,27.2,32,8,5,17
Rymer Liriano,0.2,4,,,,,,,,,,,,,,,,,,,,,,,,
Tyson Ross,0.2,9,132,190,14,38,2,13,1,6,0.2,0.229,0.253,0.481,43,65,3.95,1.345,196,135,1,869.1,799,66,370,791
Christian Colón,0.2,4,142,349,33,88,1,25,5,30,0.252,0.315,0.315,0.63,,,,,,,,,,,,
Pedro Florimón,0.2,8,321,788,96,166,12,73,26,63,0.211,0.27,0.319,0.588,0,0,9,1,2,0,0,2,1,1,1,0
Hunter Cervenka,0.2,2,,,,,,,,,,,,,,,,,,,,,,,,
Ryan LaMarre,0.2,4,105,202,18,48,2,18,2,12,0.238,0.283,0.322,0.605,0,0,5.4,1.8,2,0,0,1.2,3,1,0,0
Ryan O'Rourke,0.2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,1,4.98,1.255,54,0,0,47,34,6,25,48
Juan Centeno,0.2,6,111,326,25,74,6,35,0,22,0.227,0.278,0.331,0.609,,,,,,,,,,,,
Jordan Patterson,0.1,2,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Snyder,0.1,6,122,200,27,48,9,29,0,7,0.24,0.276,0.455,0.731,,,,,,,,,,,,
Nick Franklin,0.1,6,301,833,83,178,24,96,17,77,0.214,0.285,0.359,0.644,,,,,,,,,,,,
Jonathan Aro,0.1,3,,,,,,,,,,,,,,,,,,,,,,,,
Taylor Guerrieri,0.1,1,1,0,0,0,0,0,0,0,,,,,0,0,4.66,1.345,9,0,0,9.2,9,1,4,8
Scott Copeland,0.1,2,2,1,0,0,0,0,0,0,0,0,0,0,1,1,5.94,1.62,6,3,0,16.2,25,1,2,8
Zac Rosscup,0.1,5,83,0,0,0,0,0,0,0,,,,,3,2,5.21,1.477,88,0,0,65.2,61,13,36,87
Terrance Gore,0.1,5,63,16,19,1,0,0,27,1,0.063,0.211,0.063,0.273,,,,,,,,,,,,
Chase d'Arnaud,0.1,7,236,550,68,122,5,40,29,36,0.222,0.273,0.316,0.59,0,0,0,1,1,0,0,1,1,0,0,0
Sam Howard,0.1,1,4,0,0,0,0,0,0,0,,,,,0,0,2.25,2,4,0,0,4,5,0,3,1
Matt Szczur,0.1,5,363,589,80,136,12,61,7,65,0.231,0.312,0.355,0.666,,,,,,,,,,,,
James Hoyt,0.1,3,4,1,0,0,0,0,0,0,0,0,0,0,2,1,4.4,1.284,66,0,0,71.2,68,12,24,94
César Puello,0.1,1,17,34,6,7,0,3,2,4,0.206,0.308,0.206,0.514,,,,,,,,,,,,
Patrick Kivlehan,0.1,3,132,212,31,44,10,28,1,24,0.208,0.302,0.401,0.703,,,,,,,,,,,,
Bryan Holaday,0,7,225,556,53,130,6,62,1,28,0.234,0.274,0.32,0.594,0,0,8.1,1.2,3,0,0,3.1,4,1,0,1
