Name,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
Manny Machado,17.3,7,926,3720,522,1050,175,513,53,296,0.282,0.335,0.487,0.822,,,,,,,,,,,,
Josh Donaldson,12.8,8,883,3292,556,906,182,551,34,457,0.275,0.367,0.507,0.874,,,,,,,,,,,,
Jonathan Schoop,12.2,6,681,2484,322,640,110,333,7,98,0.258,0.294,0.444,0.738,,,,,,,,,,,,
Nelson Cruz,12,14,1569,5758,838,1580,360,1011,76,551,0.274,0.342,0.518,0.86,,,,,,,,,,,,
DJ LeMahieu,11.5,8,955,3445,501,1026,49,349,75,278,0.298,0.35,0.406,0.756,,,,,,,,,,,,
Brian Dozier,11.5,7,1002,3885,609,954,172,511,102,426,0.246,0.324,0.444,0.768,,,,,,,,,,,,
J.A. Happ,10.9,12,130,194,12,20,1,6,0,10,0.103,0.147,0.129,0.276,109,82,3.9,1.309,284,259,0,1530.2,1448,189,556,1357
Ian Kinsler,10,13,1801,7165,1215,1943,248,887,241,674,0.271,0.339,0.443,0.782,,,,,,,,,,,,
Yasmani Grandal,8.9,7,726,2280,295,547,113,339,6,348,0.24,0.341,0.441,0.782,,,,,,,,,,,,
Ervin Santana,8.3,14,46,103,11,13,0,8,0,2,0.126,0.143,0.155,0.298,149,125,4.06,1.269,384,381,0,2408,2307,316,748,1921
Gio Gonzalez,8.2,11,203,385,15,36,3,17,0,8,0.094,0.12,0.135,0.255,127,97,3.69,1.316,313,307,0,1814,1628,156,759,1748
Bryce Harper,8.1,7,927,3306,610,922,184,521,75,585,0.279,0.388,0.512,0.9,,,,,,,,,,,,
Daniel Murphy,7.7,10,1280,4747,644,1421,122,641,67,325,0.299,0.344,0.458,0.803,,,,,,,,,,,,
CC Sabathia,7.7,18,46,118,7,25,3,15,0,2,0.212,0.225,0.314,0.539,246,153,3.7,1.254,538,538,0,3470,3292,355,1060,2986
Marwin Gonzalez,7.5,7,795,2466,303,650,76,292,37,179,0.264,0.318,0.419,0.737,,,,,,,,,,,,
Jed Lowrie,7.1,11,1109,3984,521,1043,104,509,7,438,0.262,0.335,0.414,0.749,,,,,,,,,,,,
Patrick Corbin,7.1,6,167,292,26,49,0,19,0,15,0.168,0.211,0.216,0.427,56,54,3.91,1.285,172,154,2,945.2,944,107,271,897
Andrew Miller,7,13,81,74,1,4,0,3,0,0,0.054,0.054,0.054,0.108,49,48,3.98,1.34,483,66,53,725.1,637,64,335,853
Drew Pomeranz,6.8,8,62,70,4,12,2,5,0,1,0.171,0.183,0.286,0.469,44,48,3.92,1.349,196,122,3,710,653,86,305,687
Josh Harrison,6.1,8,842,2787,363,773,52,269,75,120,0.277,0.317,0.408,0.725,0,0,0,0,1,0,0,0.1,0,0,0,0
Michael Brantley,6.1,10,1051,4055,543,1195,87,528,118,351,0.295,0.351,0.43,0.781,,,,,,,,,,,,
Avisaíl García,5.9,7,638,2303,304,624,76,302,26,149,0.271,0.321,0.42,0.742,,,,,,,,,,,,
Marco Estrada,5.7,11,150,135,4,19,0,7,0,7,0.141,0.183,0.17,0.353,62,66,4.24,1.213,278,189,0,1227.2,1102,192,387,1083
Zack Britton,5.7,8,19,8,3,5,1,2,0,0,0.625,0.625,1.125,1.75,31,22,3.21,1.261,331,46,142,541.2,478,34,205,446
Wilson Ramos,5.7,9,760,2726,282,745,109,426,0,182,0.273,0.317,0.439,0.756,,,,,,,,,,,,
Asdrúbal Cabrera,5.6,12,1529,5686,760,1530,162,705,86,477,0.269,0.33,0.424,0.754,,,,,,,,,,,,
Charlie Morton,5.6,11,157,264,4,20,0,6,0,3,0.076,0.086,0.091,0.176,75,81,4.23,1.372,217,216,0,1206.2,1205,103,451,994
AJ Pollock,5.5,7,637,2277,367,640,74,264,103,185,0.281,0.338,0.467,0.805,,,,,,,,,,,,
Logan Forsythe,5.3,8,857,2769,349,686,63,266,40,295,0.248,0.327,0.372,0.7,,,,,,,,,,,,
Curtis Granderson,5.3,15,1919,6919,1173,1742,332,903,153,883,0.252,0.34,0.47,0.81,,,,,,,,,,,,
Andrew McCutchen,5.2,10,1501,5602,897,1608,223,790,185,780,0.287,0.378,0.481,0.859,,,,,,,,,,,,
Freddy Galvis,5.1,7,804,2867,298,704,65,300,51,173,0.246,0.29,0.374,0.664,,,,,,,,,,,,
José Iglesias,5,7,656,2202,247,594,21,188,46,112,0.27,0.315,0.363,0.678,,,,,,,,,,,,
Nick Markakis,5,13,2001,7758,1043,2237,179,969,64,834,0.288,0.358,0.424,0.782,,,,,,,,,,,,
Billy Hamilton,5,6,690,2491,365,611,21,161,277,190,0.245,0.298,0.333,0.631,,,,,,,,,,,,
Robinson Chirinos,5,7,462,1392,191,324,68,204,3,146,0.233,0.324,0.438,0.761,,,,,,,,,,,,
Kurt Suzuki,5,12,1394,4814,515,1243,114,619,19,329,0.258,0.315,0.387,0.702,,,,,,,,,,,,
Adam Jones,4.8,13,1686,6524,897,1813,266,878,95,309,0.278,0.318,0.456,0.774,,,,,,,,,,,,
David Robertson,4.8,11,57,0,0,0,0,0,0,0,,,,,53,32,2.88,1.145,654,0,137,657,492,56,260,874
Mike Moustakas,4.4,8,988,3611,408,908,147,474,15,263,0.251,0.307,0.431,0.737,,,,,,,,,,,,
Jeremy Hellickson,4.3,9,100,166,7,24,0,14,0,9,0.145,0.197,0.175,0.371,74,72,4.07,1.239,223,216,0,1230.1,1159,175,365,899
Kendall Graveman,4.3,5,6,5,0,0,0,0,0,0,0,0,0,0,23,29,4.38,1.377,83,78,0,446,484,58,130,286
Troy Tulowitzki,4.2,12,1286,4793,761,1389,224,779,57,509,0.29,0.361,0.495,0.856,,,,,,,,,,,,
Kelvin Herrera,4,8,57,0,0,0,0,0,0,0,,,,,24,29,2.82,1.154,463,0,60,460,395,40,136,454
Mike Fiers,4,8,68,86,1,7,0,2,0,0,0.081,0.081,0.081,0.163,54,55,4.04,1.269,172,153,0,898,873,141,267,827
Alex Wilson,3.9,6,20,0,0,0,0,0,0,0,,,,,13,13,3.23,1.188,290,1,4,320.2,300,28,81,213
Brad Brach,3.9,8,159,1,0,0,0,0,0,0,0,0,0,0,31,23,3.08,1.274,424,0,33,456,380,46,201,482
Justin Bour,3.9,5,507,1563,188,407,84,277,3,201,0.26,0.344,0.466,0.811,,,,,,,,,,,,
Neil Walker,3.8,10,1173,4207,569,1127,141,568,29,417,0.268,0.339,0.43,0.768,,,,,,,,,,,,
Steve Pearce,3.8,12,737,2167,281,556,90,294,13,233,0.257,0.336,0.447,0.783,,,,,,,,,,,,
Hyun Jin Ryu,3.8,5,91,162,16,30,0,9,0,8,0.185,0.228,0.241,0.469,40,28,3.2,1.216,97,96,1,557.2,538,55,140,502
Cameron Maybin,3.7,12,1039,3464,498,881,60,315,174,328,0.254,0.322,0.368,0.69,,,,,,,,,,,,
Adam Ottavino,3.7,8,343,24,1,2,0,0,0,1,0.083,0.12,0.083,0.203,17,20,3.68,1.3,366,3,17,413,363,41,174,464
Matt Joyce,3.6,11,1182,3336,483,802,138,459,34,489,0.24,0.339,0.431,0.77,,,,,,,,,,,,
Yangervis Solarte,3.6,5,642,2334,273,605,74,300,6,185,0.259,0.317,0.41,0.728,,,,,,,,,,,,
Jonathan Lucroy,3.6,9,1101,3828,451,1060,100,509,30,339,0.277,0.337,0.421,0.758,,,,,,,,,,,,
