"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid","mlbamid"
"Sean Gilmartin","- - -","1","0.0%","0.0%","0.00","1.000","1.000","2.000","3.000","1.000","2.6","1.000","","","0.0","1","0.8","1.232","699","12781","543219"
"Derek Law","- - -","1","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","2.6","1.000","","","0.0","1","0.5",".880","476","13133","571882"
"Daniel Bard","COL","1","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","2.6","1.000","","","0.0","1","0.5",".879","448","7115","453268"
"Connor Overton","- - -","1","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","2.6","1.000","","","0.0","1","0.5",".879","462","18376","656818"
"Andrew Albers","- - -","3","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","2","1.4",".877","483","7853","452027"
"Jose Torres","SDP","1","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","2.6","1.000","","","0.0","1","0.5",".877","463","14957","600526"
"Will Smith","- - -","2","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","1","1.0",".870","459","8048","519293"
"Oliver Drake","- - -","1","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","1","0.5",".870","475","8823","543118"
"Gregory Soto","DET","2","0.0%","0.0%","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","1","1.0",".870","470","19677","642397"
"Josh Lowe","TBR","2","50.0%","0.0%","1.00","1.000","1.000","1.000","2.000",".000","5.0","1.000","0.0","0.0","0.2","1","0.8",".785","422","19953","666139"
"Aaron Blair","ATL","2","50.0%","0.0%","1.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","1","0.8",".785","397","14934","594760"
"Dan Jennings","- - -","3","0.0%","33.3%","0.00",".667",".667","1.000","1.667",".333","2.6","1.000","","","0.0","1","1.0",".709","359","8073","543359"
"Joe Blanton","WSN","1","100.0%","0.0%","1.00",".000","1.000",".000","1.000",".000","0.1",".000","","","0.0","0","0.3",".693","337","4849","430599"
"Antonio Bastardo","PIT","1","100.0%","0.0%","1.00",".000","1.000",".000","1.000",".000","0.1",".000","","","0.0","0","0.3",".693","341","8844","455374"
"Jacob Barnes","- - -","1","100.0%","0.0%","1.00",".000","1.000",".000","1.000",".000","0.1",".000","","","0.0","0","0.3",".693","338","12323","606930"
"Jake Brentz","KCR","1","100.0%","0.0%","1.00",".000","1.000",".000","1.000",".000","0.1",".000","","","0.0","0","0.3",".692","351","17783","641394"
"Mario Feliciano","MIL","1","100.0%","0.0%","1.00",".000","1.000",".000","1.000",".000","2.6",".000","0.1","0.0","0.0","0","0.3",".692","341","20263","666128"
"Justin Bruihl","LAD","1","100.0%","0.0%","1.00",".000","1.000",".000","1.000",".000","0.1",".000","","","0.0","0","0.3",".692","343","23779","677865"
"Daniel Camarena","SDP","3","0.0%","66.7%","0.00",".333",".333","1.333","1.667","1.000","0.1",".000","","","0.0","1","0.9",".669","330","14467","547176"
"Darrell Ceciliani","TOR","5","0.0%","0.0%","0.00",".400",".400","1.200","1.600",".800","2.6",".250","0.0","0.2","0.0","2","1.4",".642","319","9954","571553"
"Enny Romero","- - -","2","0.0%","50.0%","0.00",".500",".500","1.000","1.500",".500","2.6","1.000","","","0.0","1","0.5",".624","310","4001","544836"
"Jesse Biddle","- - -","2","0.0%","0.0%","0.00",".500",".500","1.000","1.500",".500","0.1",".500","","","0.0","1","0.5",".624","300","11437","592145"
"Jakson Reetz","WSN","2","0.0%","0.0%","0.00",".500",".500","1.000","1.500",".500","2.6",".500","0.0","0.0","0.0","1","0.5",".621","293","17837","656883"
"Garrett Cleavinger","- - -","3","0.0%","33.3%","0.00",".500",".500","1.000","1.500",".500","0.1","1.000","","","0.0","1","0.8",".621","297","17897","664076"
"Vidal Nuno","- - -","3","0.0%","0.0%","0.00",".667",".667",".667","1.333",".000","0.1",".667","","","0.0","1","0.7",".586","291","9674","573064"
"Trent Thornton","TOR","3","0.0%","0.0%","0.00",".667",".667",".667","1.333",".000","2.6",".667","","","0.0","1","0.7",".580","275","17948","663423"
"Seth Beer","ARI","10","10.0%","30.0%","0.33",".444",".500",".889","1.389",".444","2.6",".600","-0.1","0.0","0.0","3","2.1",".570","260","20493","666179"
"Humberto Castellanos","- - -","7","0.0%","14.3%","0.00",".500",".429","1.000","1.429",".500","0.1",".400","","","0.0","2","1.3",".538","239","21183","528748"
